node1,node2,free_bw,used_bw,pkloss,delay
1,3,95406.713096,4593286.904117,0.000327,1.407146
1,7,98832.107065,1167892.935373,0.000504,4.793882
1,16,85626.455309,14373544.691149,0.00016,1.656532
2,4,92786.969697,7213030.30303,0.001126,0.563025
2,7,94799.716805,5200283.195006,0.0,1.023173
2,12,93907.818848,6092181.152181,0.0,1.059651
2,13,94417.153572,5582846.427848,0.000262,1.947284
2,18,19264.069264,5735930.735931,0.0,0.117421
2,23,24821.171377,178828.62288,0.0,2.07901
3,10,90992.707554,9007292.445856,0.003158,0.0
3,11,24308.109717,691890.282613,0.0,1.178384
3,14,0.0,3081233.38436,0.00271,623.037815
3,21,99999.800183,199.816836,0.0,1.989484
4,16,89843.612844,10156387.155673,0.0,0.0
5,8,13202.369532,11797630.46849,0.0,0.833392
5,16,4465.288233,20534711.766579,0.001854,0.0
6,7,0.0,2394120.617545,0.003565,1936.609864
6,19,0.0,2476735.037777,0.0,2.148628
7,17,97813.581939,2186418.061166,0.0,0.442624
7,19,23290.352346,1709647.654348,0.0,1.079917
7,21,99079.403882,920596.118283,0.0,0.821233
8,9,22467.736403,2532263.597034,0.0,2.250791
9,15,22778.940961,2221059.039065,0.0,0.0
9,16,81699.08266,18300917.339549,0.000176,2.111912
10,11,7447.162935,17552837.064836,0.001041,1.31464
10,12,74995.130323,25004869.677013,0.000902,0.0
10,16,71807.667481,28192332.518966,0.001421,0.0
10,17,75181.139643,24818860.35727,0.001013,0.0
12,22,94452.614053,5547385.947386,0.0,1.223683
13,14,0.0,3098923.191224,0.000907,1831.40111
13,17,99598.877741,401122.258531,0.0,0.496864
13,19,20656.731225,4343268.774578,0.001332,2.160192
15,20,22305.370077,2694629.922571,0.0,0.390172
17,20,99999.800191,199.808517,0.0,0.39494
17,23,24900.581943,99418.057035,0.001411,2.798557
18,21,22383.493173,2616506.826507,0.0,2.315402
20,22,21175.1588,3824841.200484,0.0,1.614571
