node1,node2,free_bw,used_bw,pkloss,delay
1,3,99999.800291,199.708758,0.0,1.211166
1,7,99999.800283,199.717067,0.0,1.117587
1,16,99999.84022,159.780302,0.0,0.227928
2,4,99999.840213,159.786951,0.0,2.04134
2,7,99999.84022,159.780302,0.0,1.535296
2,12,99999.840213,159.786951,0.0,2.177238
2,13,99999.800275,199.725378,0.0,1.110077
2,18,24999.800266,199.733688,0.0,1.674414
2,23,24999.800275,199.725378,0.0,1.71566
3,10,99999.800291,199.708758,0.0,1.300693
3,11,24999.840226,159.773655,0.0,1.757503
3,14,1549.800291,199.708758,0.0,0.725746
3,21,99999.800283,199.717069,0.0,0.764132
4,16,99999.800266,199.733688,0.0,2.462506
5,8,24999.76033,239.670454,0.0,1.288295
5,16,24999.840213,159.786951,0.0,1.068115
6,7,1549.800283,199.717067,0.0,0.140429
6,19,1549.800283,199.717067,0.0,0.764847
7,17,99999.84022,159.780302,0.0,0.788689
7,19,24999.800283,199.717067,0.0,1.443267
7,21,99999.800275,199.725378,0.0,0.330567
8,9,24999.800275,199.725378,0.0,0.481009
9,15,24999.800266,199.733688,0.0,0.0
9,16,99999.800266,199.733688,0.0,0.584483
10,11,24999.84022,159.780302,0.0,0.410557
10,12,99999.76033,239.670454,0.0,1.011133
10,16,99999.84022,159.780302,0.0,0.779867
10,17,99999.800275,199.725378,0.0,1.183391
12,22,99999.84022,159.780302,0.0,1.144052
13,14,1549.840226,159.773654,0.0,0.949383
13,17,99999.800275,199.725378,0.0,0.179529
13,19,24999.800283,199.717067,0.0,0.802398
15,20,24999.76032,239.680426,0.0,0.0
17,20,99999.840213,159.786951,0.0,1.670957
17,23,24999.800275,199.725378,0.0,1.006246
18,21,24999.76032,239.680426,0.0,0.920177
20,22,24999.84022,159.780302,0.0,1.555324
