node1,node2,free_bw,used_bw,pkloss,delay
1,3,99999.800308,199.69215,0.0,1.015544
1,7,99999.800308,199.69215,0.0,1.387596
1,16,99999.840246,159.75372,0.0,1.954675
2,4,99999.800258,199.742,0.0,1.793742
2,7,99999.800258,199.742,0.0,1.360416
2,12,99999.800258,199.742,0.0,0.77796
2,13,99999.800258,199.742,0.0,1.948237
2,18,24999.800258,199.742,0.0,1.780152
2,23,24999.800258,199.742,0.0,2.517104
3,10,99999.800258,199.742,0.0,1.562595
3,11,24999.800258,199.742,0.0,0.527978
3,14,1549.840213,159.786951,0.0,1.021385
3,21,99999.800258,199.742,0.0,0.0
4,16,99999.800266,199.733688,0.0,1.734495
5,8,24999.8402,159.80025,0.0,1.404643
5,16,24999.800258,199.742,0.0,1.442194
6,7,1549.800266,199.733688,0.0,0.919342
6,19,1549.84024,159.760364,0.0,1.206756
7,17,99999.800258,199.742,0.0,1.35088
7,19,24999.84024,159.760364,0.0,0.717878
7,21,99999.800258,199.742,0.0,1.312137
8,9,24999.840206,159.7936,0.0,1.711726
9,15,24999.800258,199.742,0.0,1.407981
9,16,99999.840213,159.786951,0.0,1.963973
10,11,24999.80025,199.750312,0.0,1.583457
10,12,99999.840206,159.7936,0.0,1.69313
10,16,99999.800258,199.742,0.0,2.019763
10,17,99999.80025,199.750312,0.0,1.6644
12,22,99999.800266,199.733688,0.0,1.514792
13,14,1549.800266,199.733688,0.0,1.658201
13,17,99999.800258,199.742,0.0,0.784159
13,19,24999.84024,159.760364,0.0,1.668453
15,20,24999.8402,159.80025,0.0,0.516057
17,20,99999.80025,199.750312,0.0,1.213789
17,23,24999.800258,199.742,0.0,1.470566
18,21,24999.800258,199.742,0.0,93.137741
20,22,24999.800258,199.742,0.0,1.573205
