node1,node2,free_bw,used_bw,pkloss,delay
1,3,99999.753795,246.205043,0.0,1.503229
1,7,99999.800374,199.625719,0.0,1.809955
1,16,92195.427632,7804572.368216,0.0,0.609756
2,4,98279.965092,1720034.90784,0.0,1.800299
2,7,96102.505442,3897494.558008,0.0,1.011252
2,12,97210.730571,2789269.42919,0.0,0.818491
2,13,93386.724307,6613275.692673,0.000137,2.280235
2,18,24407.693139,592306.861282,0.0,1.910806
2,23,8493.697126,16506302.87367,0.001548,0.0
3,10,90592.718802,9407281.198003,0.0,0.92721
3,11,22682.050154,2317949.846168,0.0,1.901388
3,14,0.0,1585440.93178,0.000441,237.880945
3,21,90380.148321,9619851.678943,0.000183,2.93088
4,16,92435.798111,7564201.889196,0.00014,0.597477
5,8,16870.965539,8129034.460623,0.000301,0.0
5,16,5262.740157,19737259.842948,0.0,1.227379
6,7,483.650575,1066349.425018,0.0,2.280593
6,19,740.830885,809169.114964,0.0,1.762033
7,17,96483.80754,3516192.460069,0.0,0.0
7,19,24153.541911,846458.089037,0.0,2.286553
7,21,94909.153108,5090846.891661,0.0,1.206875
8,9,23072.268644,1927731.355514,0.0,0.0
9,15,18221.353962,6778646.038486,0.0,0.881433
9,16,85570.366544,14429633.455561,8.1e-05,1.781821
10,11,15476.891357,9523108.642638,0.000787,1.400352
10,12,77507.645824,22492354.176445,0.000553,2.713084
10,16,68120.233523,31879766.477247,0.000753,2.871633
10,17,71022.956413,28977043.587143,0.000895,2.760887
12,22,95290.713475,4709286.524771,0.0,2.696037
13,14,1549.800333,199.667221,0.0,1.864552
13,17,99999.800316,199.683835,0.0,0.895262
13,19,24050.503701,949496.298961,0.0,2.13635
15,20,17865.09693,7134903.070139,0.0,0.0
17,20,95394.661341,4605338.658679,0.0,100.310206
17,23,8336.992046,16663007.95361,0.001619,0.0
18,21,21529.021066,3470978.934156,0.00047,1.275182
20,22,21453.255679,3546744.321491,0.0,2.446532
