node1,node2,free_bw,used_bw,pkloss,delay
1,3,99999.800349,199.650624,0.0,1.713395
1,7,99999.840286,159.713853,0.0,1.381755
1,16,99999.800358,199.642316,0.0,1.455903
2,4,99999.800316,199.683834,0.0,1.581907
2,7,99999.840253,159.747067,0.0,0.947952
2,12,99999.800316,199.683834,0.0,1.68705
2,13,99999.800316,199.683834,0.0,1.486421
2,18,24999.800316,199.683834,0.0,0.681639
2,23,24999.800308,199.692142,0.0,2.038836
3,10,99999.800291,199.708758,0.0,1.569152
3,11,24999.760369,239.63057,0.0,1.076579
3,14,1549.760359,239.640539,0.0,0.541687
3,21,99999.800308,199.692142,0.0,0.81706
4,16,99999.800316,199.683834,0.0,1.419663
5,8,24999.84024,159.760359,0.0,1.582265
5,16,24999.760369,239.63057,0.0,0.575423
6,7,1549.84024,159.760361,0.0,0.717163
6,19,1549.800333,199.667234,0.0,1.528025
7,17,99999.840253,159.747067,0.0,1.409769
7,19,24999.800349,199.650617,0.0,0.45383
7,21,99999.800316,199.683834,0.0,85.358262
8,9,24999.800308,199.692142,0.0,0.244021
9,15,24999.800308,199.692142,0.0,1.264811
9,16,99999.800316,199.683834,0.0,0.596285
10,11,24999.760359,239.640541,0.0,0.811577
10,12,99999.84024,159.760361,0.0,1.297712
10,16,99999.8003,199.700451,0.0,1.484275
10,17,99999.84024,159.760361,0.0,0.296474
12,22,99999.800316,199.683834,0.0,0.582814
13,14,1549.840246,159.753713,0.0,1.081586
13,17,99999.840253,159.747067,0.0,0.904202
13,19,24999.800349,199.650617,0.0,1.173973
15,20,24999.840246,159.753713,0.0,2.009392
17,20,99999.840253,159.747067,0.0,1.145244
17,23,24999.840253,159.747067,0.0,1.657605
18,21,24999.840253,159.747067,0.0,1.995444
20,22,24999.800316,199.683834,0.0,1.536846
