node1,node2,free_bw,used_bw,pkloss,delay
1,3,99999.8002,199.800212,0.0,1.654387
1,7,99999.800191,199.808525,0.0,1.63281
1,16,99999.800175,199.825156,0.0,1.36745
2,4,99999.800216,199.783568,0.0,0.860929
2,7,99999.800225,199.775253,0.0,0.480413
2,12,99999.800208,199.791884,0.0,1.032591
2,13,99999.800225,199.775253,0.0,1.259208
2,18,24999.800208,199.791884,0.0,1.720667
2,23,24999.800216,199.783568,0.0,1.126528
3,10,99999.80025,199.750312,0.0,1.804113
3,11,24999.800225,199.775256,0.0,1.309395
3,14,1549.840206,159.7936,0.0,1.535654
3,21,99999.800233,199.76694,0.0,1.188993
4,16,99999.800208,199.791884,0.0,0.858545
5,8,24999.800225,199.775253,0.0,1.161456
5,16,24999.800208,199.791884,0.0,1.354814
6,7,1549.80025,199.750313,0.0,0.643134
6,19,1549.76024,239.760266,0.0,1.819968
7,17,99999.800216,199.783568,0.0,1.692533
7,19,24999.800183,199.816847,0.0,0.994563
7,21,99999.800225,199.775253,0.0,0.580668
8,9,24999.800216,199.783569,0.0,0.73576
9,15,24999.800208,199.791884,0.0,0.733852
9,16,99999.8002,199.8002,0.0,1.058459
10,11,24999.800225,199.775256,0.0,1.436949
10,12,99999.800225,199.775256,0.0,1.584411
10,16,99999.800225,199.775256,0.0,0.614166
10,17,99999.800233,199.76694,0.0,1.467109
12,22,99999.8002,199.8002,0.0,1.212955
13,14,1549.7603,239.700376,0.0,1.465559
13,17,99999.800225,199.775253,0.0,1.254797
13,19,24999.76022,239.780216,0.0,1.908183
15,20,24999.800216,199.783568,0.0,1.555085
17,20,99999.800216,199.783568,0.0,0.699282
17,23,24999.800216,199.783568,0.0,1.067996
18,21,24999.800208,199.791884,0.0,0.0
20,22,24999.800208,199.791884,0.0,0.702381
