node1,node2,free_bw,used_bw,pkloss,delay
1,3,97765.159638,2234840.362432,0.0,8.765221
1,7,96955.867233,3044132.767138,0.0,1.262188
1,16,84460.148422,15539851.577505,0.002977,1.176715
2,4,97533.975206,2466024.794076,0.0,1.083136
2,7,99747.711457,252288.54314,0.0,3.525496
2,12,96379.759219,3620240.781075,0.000346,1.430273
2,13,95968.631001,4031368.999085,0.000781,41.590333
2,18,22319.259173,2680740.827024,0.0,2.810359
2,23,24939.933106,60066.894084,0.0,2.387643
3,10,97867.444546,2132555.453865,0.0,0.659227
3,11,22431.835594,2568164.406357,0.001097,1.079917
3,14,0.0,2017887.677843,0.0,0.314116
3,21,98696.076214,1303923.786423,0.0,2.184987
4,16,92835.975213,7164024.786876,0.0,1.144528
5,8,15325.909651,9674090.348601,0.002163,1.929522
5,16,6109.374973,18890625.027154,0.001364,2.14541
6,7,1545.150547,4849.452981,0.0,0.413537
6,19,1336.91587,213084.129592,0.0,0.0
7,17,99703.222199,296777.801404,0.0,1.460195
7,19,24682.945616,317054.383871,0.0,2.092957
7,21,99896.959521,103040.479439,0.0,0.308037
8,9,24969.363175,30636.825239,0.0,0.588298
9,15,24916.796272,83203.727731,0.0,0.047088
9,16,86070.567482,13929432.51789,0.0,0.8564
10,11,18366.992262,6633007.737749,0.003486,0.722289
10,12,81583.086114,18416913.886347,0.001838,1.188636
10,16,72679.649184,27320350.816455,0.004155,0.0
10,17,82904.38881,17095611.189672,0.003478,0.862598
12,22,98288.15376,1711846.240014,0.0,3.055692
13,14,0.0,2058922.705716,0.003012,34.612298
13,17,95493.631935,4506368.065036,0.001279,1.489162
13,19,24202.10944,797890.559995,0.002215,0.0
15,20,24280.59772,719402.279724,0.0,2.545238
17,20,98393.816863,1606183.137114,0.0,1.573086
17,23,24976.924907,23075.092606,0.0,1.379013
18,21,24980.231809,19768.19074,0.0,2.955198
20,22,24658.295698,341704.301523,0.0,1.740813
