node1,node2,free_bw,used_bw,pkloss,delay
1,3,99100.124771,899875.22892,0.0,1.397133
1,7,99705.329969,294670.031043,0.0,1.777053
1,16,97124.559612,2875440.388402,0.000265,0.500798
2,4,99246.976677,753023.323011,0.0,1.838088
2,7,99945.779072,54220.927689,0.0,1.981497
2,12,99392.033978,607966.022291,0.0,1.35684
2,13,98901.795619,1098204.380861,0.000253,1.520514
2,18,24707.786633,292213.367153,0.0,1.856685
2,23,24984.58161,15418.389513,0.00051,1.595855
3,10,99701.482517,298517.482517,0.0,1.088977
3,11,24534.11337,465886.630013,0.000301,0.920296
3,14,889.992174,660007.826326,0.0,1.209617
3,21,99809.397552,190602.447995,0.0,1.180291
4,16,98150.666876,1849333.124085,0.0,1.576662
5,8,23345.545084,1654454.915689,0.0,1.95384
5,16,21230.847691,3769152.308916,0.000361,1.839161
6,7,1548.010656,1989.344044,0.0,1.817822
6,19,1501.614893,48385.106829,0.0,0.896215
7,17,99981.558498,18441.502335,0.0,1.600981
7,19,24967.497559,32502.44095,0.0,1.006126
7,21,99990.02773,9972.269798,0.0,1.775384
8,9,24995.146105,4853.895233,0.0,2.888083
9,15,24994.152808,5847.191664,0.0,1.561284
9,16,98365.234946,1634765.053719,8.4e-05,2.270579
10,11,24168.753724,831246.276252,0.000661,1.471043
10,12,97093.688187,2906311.81326,0.000125,1.753926
10,16,95569.774759,4430225.240654,0.000231,1.221061
10,17,97802.261223,2197738.777434,0.000212,1.502514
12,22,99928.269154,71730.846103,0.0,2.395511
13,14,891.707621,658292.378855,0.0,1.4503
13,17,99862.692699,137307.300531,0.0,4.814625
13,19,24914.388124,85611.875585,0.0,0.244379
15,20,24920.135226,79864.773859,0.0,0.675321
17,20,99813.465023,186534.976682,0.0,1.47438
17,23,24996.178707,3821.293257,0.0,1.062632
18,21,24999.800125,199.875078,0.0,1.586795
20,22,24981.402507,18597.493474,0.0,1.82116
