node1,node2,available_bandwidth,throughput,delay,packet_loss
19,7,25000.0,0.0,0.307,0
19,6,1550.0,0.0,1.336,0
19,13,25000.0,0.0,1.344,0
7,19,24999.761,0.239,0.307,0.0
7,1,99999.761,0.239,0.159,0.0
7,6,1549.761,0.239,0.416,0.0
7,17,100000.0,0.0,0.151,0
7,21,100000.0,0.0,0.478,0
7,2,100000.0,0.0,0.179,0
6,19,1549.761,0.239,1.336,0.0
6,7,1550.0,0.0,0.416,0
13,19,24999.761,0.239,1.344,0.0
13,14,1549.761,0.239,0.477,0.0
13,17,99999.761,0.239,0.967,0.0
13,2,99999.761,0.239,0.17,0.0
1,3,99999.761,0.239,1.183,0.0
1,7,99999.761,0.239,0.159,0.0
1,16,99999.761,0.239,0.468,0.0
3,1,99999.761,0.239,1.182,0.0
3,14,1549.761,0.239,1.263,0.0
3,10,99999.761,0.239,1.005,0.0
3,21,99999.761,0.239,1.159,0.0
3,11,24999.761,0.239,1.528,0.0
14,3,1550.0,0.0,1.263,0
14,13,1550.0,0.0,0.477,0
10,3,99999.761,0.239,1.005,0.0
10,12,100000.0,0.0,1.042,0
10,17,100000.0,0.0,0.679,0
10,16,100000.0,0.0,1.351,0
10,11,25000.0,0.0,1.008,0
15,20,25000.0,0.0,1.117,0
15,9,25000.0,0.0,0,0
20,15,24999.761,0.239,1.117,0.0
20,22,25000.0,0.0,0.524,0
20,17,100000.0,0.0,0.832,0
12,10,99999.761,0.239,1.042,0.0
12,22,99999.761,0.239,0.755,0.0
12,2,100000.0,0.0,0.916,0
22,12,99999.761,0.239,0.754,0.0
22,20,24999.761,0.239,0.524,0.0
8,5,25000.0,0.0,1.077,0
8,9,25000.0,0.0,0.184,0
5,8,24999.761,0.239,1.077,0.0
5,16,24999.761,0.239,1.688,0.0
17,10,99999.761,0.239,0.679,0.0
17,13,99999.761,0.239,0.967,0.0
17,7,99999.761,0.239,0.151,0.0
17,23,24999.761,0.239,0.585,0.0
17,20,99999.761,0.239,0.832,0.0
23,17,25000.0,0.0,0.585,0
23,2,25000.0,0.0,0.839,0
16,1,100000.0,0.0,0.468,0
16,10,100000.0,0.0,1.351,0
16,4,100000.0,0.0,0.591,0
16,5,25000.0,0.0,1.689,0
16,9,100000.0,0.0,0.648,0
4,16,99999.761,0.239,0.591,0.0
4,2,99999.761,0.239,0,0.0
9,16,100000.0,0.0,0.648,0
9,8,25000.0,0.0,0.184,0
9,15,25000.0,0.0,0,0
21,3,100000.0,0.0,1.159,0
21,7,100000.0,0.0,0.478,0
21,18,25000.0,0.0,0.685,0
18,21,25000.0,0.0,0.684,0
18,2,25000.0,0.0,1.316,0
2,13,100000.0,0.0,0.17,0
2,7,100000.0,0.0,0.179,0
2,4,100000.0,0.0,0,0
2,23,25000.0,0.0,0.839,0
2,12,100000.0,0.0,0.915,0
2,18,25000.0,0.0,1.317,0
11,3,24999.761,0.0,1.528,1.0
11,10,24999.761,0.239,1.008,0.0
