node1,node2,available_bandwidth,throughput,delay,packet_loss
19,7,24999.76,0.24,0.908,0.0
19,6,1549.76,0.24,0.795,0.0
19,13,24999.76,0.24,0.77,0.0
7,19,25000.0,0.0,0.907,0
7,1,100000.0,0.0,0.956,0
7,6,1550.0,0.0,0.928,0
7,17,100000.0,0.0,1.073,0
7,21,100000.0,0.0,0,0
7,2,100000.0,0.0,0.474,0
6,19,1550.0,0.0,0.795,0
6,7,1549.76,0.24,0.928,0.0
13,19,25000.0,0.0,0.77,0
13,14,1550.0,0.0,0.624,0
13,17,100000.0,0.0,0.565,0
13,2,100000.0,0.0,0.505,0
1,3,100000.0,0.0,0.635,0
1,7,100000.0,0.0,0.957,0
1,16,100000.0,0.0,0.7,0
3,1,100000.0,0.0,0.634,0
3,14,1550.0,0.0,0.557,0
3,10,100000.0,0.0,0.919,0
3,21,100000.0,0.0,0,0
3,11,25000.0,0.0,0.847,0
14,3,1549.76,0.24,0.557,0.0
14,13,1549.76,0.24,0.625,0.0
10,3,100000.0,0.0,0.919,0
10,12,100000.0,0.0,0.782,0
10,17,100000.0,0.0,0.956,0
10,16,100000.0,0.0,1.151,0
10,11,25000.0,0.0,0.968,0
15,20,24999.76,0.24,0.974,0.0
15,9,24999.76,0.24,0.942,0.0
20,15,25000.0,0.0,0.975,0
20,22,24999.76,0.24,0.948,0.0
20,17,99999.76,0.24,1.081,0.0
12,10,100000.0,0.0,0.782,0
12,22,100000.0,0.0,0.981,0
12,2,100000.0,0.0,0.707,0
22,12,100000.0,0.0,0.981,0
22,20,25000.0,0.0,0.948,0
8,5,24999.76,0.24,1.224,0.0
8,9,24999.76,0.24,1.425,0.0
5,8,25000.0,0.0,1.224,0
5,16,25000.0,0.0,0.792,0
17,10,100000.0,0.0,0.956,0
17,13,100000.0,0.0,0.565,0
17,7,100000.0,0.0,1.073,0
17,23,25000.0,0.0,0.255,0
17,20,100000.0,0.0,1.082,0
23,17,24999.76,0.24,0.255,0.0
23,2,24999.76,0.24,0.987,0.0
16,1,99999.76,0.24,0.7,0.0
16,10,99999.76,0.24,1.152,0.0
16,4,99999.76,0.24,0.673,0.0
16,5,24999.76,0.24,0.792,0.0
16,9,99999.76,0.24,1.318,0.0
4,16,100000.0,0.0,0.674,0
4,2,100000.0,0.0,0.696,0
9,16,99999.76,0.24,1.317,0.0
9,8,24999.76,0.24,1.425,0.0
9,15,24999.76,0.24,0.943,0.0
21,3,99999.76,0.24,0,0.0
21,7,99999.76,0.24,0,0.0
21,18,24999.76,0.24,0,0.0
18,21,24999.76,0.24,0,0.0
18,2,24999.76,0.24,1.147,0.0
2,13,100000.0,0.0,0.504,0
2,7,100000.0,0.0,0.474,0
2,4,100000.0,0.0,0.695,0
2,23,25000.0,0.0,0.987,0
2,12,100000.0,0.0,0.708,0
2,18,25000.0,0.0,1.148,0
11,3,25000.0,0.0,0.847,0
11,10,25000.0,0.0,0.968,0
