node1,node2,available_bandwidth,throughput,delay,packet_loss
19,7,24177.691,821.898,1.657,0.0
19,6,1549.76,0.24,0.94,0.0
19,13,24999.76,0.24,0.388,0.0
7,19,24928.551,71.484,1.657,0.0
7,1,99761.719,232.208,1.615,0.025
7,6,1412.989,137.286,1.578,0.0
7,17,99398.641,601.659,1.685,0.0
7,21,99618.751,381.249,1.363,0.0
7,2,98921.779,1078.76,0.89,0.0
6,19,1550.0,0.0,0.94,0
6,7,1454.497,95.312,1.577,0.0
13,19,24434.366,565.917,0.387,0.0
13,14,1151.079,398.921,1.132,0.0
13,17,98606.753,1393.943,2.421,0.0
13,2,98636.523,1364.158,2.696,0.0
1,3,99577.263,422.737,1.09,0.0
1,7,99702.298,297.851,1.615,0.0
1,16,96207.273,3794.623,2.232,0.0
3,1,99458.182,541.818,1.09,0.0
3,14,1276.114,273.886,1.328,0.0
3,10,99279.56,720.8,1.024,0.0
3,21,98904.456,1096.092,1.635,0.0
3,11,23934.226,1066.307,4.468,0.0
14,3,1299.93,250.07,1.328,0.0
14,13,1353.516,196.484,1.131,0.0
10,3,99231.544,768.072,1.025,0.0
10,12,84529.615,15456.703,0,0.0
10,17,93548.546,6439.54,0,0.002
10,16,95532.234,4467.766,0.077,0.0
10,11,23772.854,1215.232,0.354,0.01
15,20,24940.22,59.78,1.974,0.0
15,9,24803.277,196.92,1.181,0.0
20,15,24844.955,155.045,1.974,0.0
20,22,24565.355,434.863,4.716,0.0
20,17,99940.46,59.57,2.288,0.0
12,10,99035.205,971.234,0,0
12,22,99809.375,190.625,2.554,0.0
12,2,96284.675,3717.181,1.63,0.0
22,12,99499.37,500.63,2.554,0.0
22,20,24946.147,47.872,4.716,0.1
8,5,20641.638,4358.362,1.641,0.0
8,9,24981.898,18.12,0.134,0.0
5,8,23421.938000000002,1578.062,1.641,0.0
5,16,16594.643,8405.357,1.842,0.0
17,10,94739.71,5266.247,0,0
17,13,99481.499,518.242,2.421,0.0
17,7,99779.35,220.539,1.685,0.0
17,23,24993.803,6.197,0,0.0
17,20,99410.015,589.69,2.288,0.0
23,17,24987.846,12.154,0,0.0
23,2,24999.76,0.24,0.622,0.0
16,1,99541.069,458.701,2.232,0.0
16,10,86965.797,13052.074,0.077,0
16,4,95520.08,4473.963,1.579,0.001
16,5,20549.864999999998,4450.135,1.842,0.0
16,9,97503.768,2497.48,1.465,0.0
4,16,98957.521,1042.479,1.578,0.0
4,2,95460.75,4541.52,1.674,0.0
9,16,92657.28,7333.093,1.466,0.001
9,8,24987.84,12.148,0.134,0.0
9,15,24958.04,41.918,1.18,0.0
21,3,99755.522,244.356,1.634,0.0
21,7,99237.261,762.739,1.363,0.0
21,18,24255.132,744.868,0,0.0
18,21,24612.794,387.206,0,0.0
18,2,23647.756,1352.244,0,0.0
2,13,99314.703,684.955,2.695,0.0
2,7,99159.4,840.18,0.89,0.0
2,4,97073.4,2925.137,1.674,0.0
2,23,24993.803,6.197,0.622,0.0
2,12,97545.467,2453.307,1.629,0.0
2,18,24392.144,607.856,0,0.0
11,3,24981.889,18.102,4.468,0.0
11,10,17916.862,7095.052,0.354,0
