node1,node2,available_bandwidth,throughput,delay,packet_loss
19,7,24999.76,0.24,0.17,0.0
19,6,1549.76,0.24,1.115,0.0
19,13,24999.76,0.24,0.407,0.0
7,19,25000.0,0.0,0.169,0
7,1,99999.76,0.24,0.519,0.0
7,6,1549.76,0.24,0,0.0
7,17,100000.0,0.0,0.252,0
7,21,100000.0,0.0,0.65,0
7,2,100000.0,0.0,1.13,0
6,19,1550.0,0.0,1.114,0
6,7,1550.0,0.0,0,0
13,19,25000.0,0.0,0.407,0
13,14,1550.0,0.0,1.038,0
13,17,100000.0,0.0,0.408,0
13,2,100000.0,0.0,1.251,0
1,3,100000.0,0.0,0.834,0
1,7,100000.0,0.0,0.519,0
1,16,100000.0,0.0,0.018,0
3,1,100000.0,0.0,0.834,0
3,14,1550.0,0.0,1.9,0
3,10,100000.0,0.0,1.406,0
3,21,100000.0,0.0,1.224,0
3,11,25000.0,0.0,1.025,0
14,3,1550.0,0.0,1.9,0
14,13,1550.0,0.0,1.038,0
10,3,99999.76,0.24,1.407,0.0
10,12,100000.0,0.0,1.235,0
10,17,100000.0,0.0,0.421,0
10,16,100000.0,0.0,0,0
10,11,25000.0,0.0,0.757,0
15,20,24999.76,0.24,1.382,0.0
15,9,25000.0,0.0,1.053,0
20,15,24999.76,0.24,1.382,0.0
20,22,25000.0,0.0,0.329,0
20,17,100000.0,0.0,0.93,0
12,10,99999.76,0.24,1.235,0.0
12,22,100000.0,0.0,1.285,0
12,2,100000.0,0.0,1.211,0
22,12,99999.76,0.24,1.285,0.0
22,20,24999.76,0.24,0.329,0.0
8,5,25000.0,0.0,1.466,0
8,9,25000.0,0.0,0.795,0
5,8,24999.76,0.24,1.465,0.0
5,16,25000.0,0.0,0.701,0
17,10,99999.76,0.24,0.421,0.0
17,13,99999.76,0.24,0.408,0.0
17,7,99999.76,0.24,0.252,0.0
17,23,24999.76,0.24,0.719,0.0
17,20,99999.76,0.24,0.93,0.0
23,17,24999.76,0.24,0.719,0.0
23,2,24999.76,0.24,0.74,0.0
16,1,99999.76,0.24,0.018,0.0
16,10,99999.76,0.24,0,0.0
16,4,99999.76,0.24,0,0.0
16,5,24999.76,0.24,0.701,0.0
16,9,99999.76,0.24,0.941,0.0
4,16,100000.0,0.0,0,0
4,2,100000.0,0.0,1.084,0
9,16,100000.0,0.0,0.941,0
9,8,24999.76,0.24,0.796,0.0
9,15,24999.76,0.24,1.053,0.0
21,3,99999.76,0.24,1.224,0.0
21,7,99999.76,0.24,0.65,0.0
21,18,24999.76,0.24,0.781,0.0
18,21,25000.0,0.0,0.782,0
18,2,25000.0,0.0,1.016,0
2,13,99999.76,0.24,1.251,0.0
2,7,99999.76,0.24,1.131,0.0
2,4,99999.76,0.24,1.084,0.0
2,23,24999.76,0.24,0.74,0.0
2,12,99999.76,0.24,1.211,0.0
2,18,24999.76,0.24,1.016,0.0
11,3,24999.76,0.24,1.024,0.0
11,10,24999.76,0.24,0.757,0.0
