node1,node2,available_bandwidth,throughput,delay,packet_loss
19,6,1538.062,11.938,0.001,0.01
19,13,24295.663,698.368,0.001,0.85
19,7,23937.526,1062.474,2.372,0.01
6,19,1538.062,11.938,0.001,0.01
6,7,1418.683,131.317,0.001,0.01
13,19,24379.229,620.771,0.001,0.01
13,2,97540.791,2459.209,0.001,0.01
13,17,97623.166,2369.675,0.001,0.25
13,14,678.533,871.467,0.001,0.01
15,20,24892.559,107.441,0.044,0.01
15,9,24773.18,226.707,0.151,0.01
20,15,24337.446,662.554,0.043,0.01
20,17,99390.926,609.074,0.581,0.01
20,22,24402.864,597.136,0.639,0.01
7,19,24325.508,674.492,2.372,0.01
7,21,98608.993,1390.31,12.13,0.01
7,2,87100.851,12899.149,1.95,0.01
7,6,1394.567,155.433,0.001,0.01
7,17,98197.376,1802.624,1.681,0.01
7,1,99128.292,872.581,0.413,0.01
21,7,98902.262,1098.287,12.13,0.01
21,18,22619.58,2381.612,2.058,0.01
21,3,99874.715,125.348,0.772,0.01
18,21,24969.915,30.07,2.058,0.01
18,2,22433.11,2566.89,2.373,0.01
11,3,18144.864999999998,6846.63,1.21,0.17
11,10,23729.009,1271.627,98.102,0.01
3,11,22487.071,2505.706,1.21,0.24
3,21,97146.84,2851.732,0.772,0.01
3,1,91362.924,8645.734,0.766,0.01
3,14,791.703,758.297,0.549,0.01
3,10,99701.312,298.688,0.643,0.01
1,3,98864.521,1134.342,0.766,0.01
1,16,90780.431,9217.658,0.791,0
1,7,90356.451,9639.86,0.413,0
4,16,97349.785,2648.889,0.001,0.01
4,2,98221.252,1778.748,0.001,0.01
16,4,100000.0,0.0,0.001,0
16,5,18139.139,6858.327,0.001,0.09
16,9,86731.692,13268.308,2.539,0.01
16,1,100000.0,0.0,0.791,0
16,10,72574.454,27445.248,0.952,0
5,16,17872.828999999998,7123.604,0.001,0.01
5,8,24999.76,0.24,0.001,0.01
9,16,82400.16,17599.84,2.539,0.01
9,15,25000.0,0.0,0.152,0
9,8,19624.665,5380.721,0.646,0.01
10,16,89124.326,10864.264,0.952,0.05
10,17,93535.383,6458.648,0.488,0.09
10,11,22284.126,2708.549,98.102,0.22
10,3,97427.381,2572.619,0.642,0.01
10,12,78320.761,21679.239,1.111,0.01
2,13,100000.0,0.0,0.001,0
2,7,95875.453,4124.547,1.95,0.01
2,23,24952.248,47.752,0.001,0.01
2,4,94078.798,5921.202,0.001,0.01
2,18,22672.108,2327.892,2.373,0.01
2,12,88312.789,11687.211,0.001,0.01
23,2,24928.132,71.868,0.001,0.01
23,17,24969.915,30.085,0.001,0.01
12,2,88587.361,11412.639,0.001,0.01
12,10,98830.085,1169.915,1.111,0.01
12,22,98513.49,1486.51,3.158,0.01
17,13,98937.526,1063.006,0.001,0.01
17,7,98077.997,1922.003,1.681,0.01
17,23,24940.31,59.69,0.001,0.01
17,20,98525.669,1474.331,0.581,0.01
17,10,87888.993,12122.944,0.487,0
8,9,17767.735,7225.025,0.646,0.01
8,5,24910.421,89.534,0.001,0.01
14,13,1424.652,125.348,0.001,0.01
14,3,714.347,835.653,0.55,0.01
22,20,24588.142,411.858,0.639,0.01
22,12,99188.222,811.778,3.158,0.01
