node1,node2,available_bandwidth,throughput,delay,packet_loss
19,6,1549.765,0.235,0.346,0.01
19,13,24999.765,0.235,0.203,0.01
19,7,24999.765,0.235,0.218,0.01
6,19,1550.0,0.0,0.346,0
6,7,1550.0,0.0,1.088,0
13,19,25000.0,0.0,0.203,0
13,2,100000.0,0.0,1.385,0
13,17,100000.0,0.0,0.001,0
13,14,1550.0,0.0,104.924,0
15,20,25000.0,0.0,1.233,0
15,9,25000.0,0.0,1.069,0
20,15,25000.0,0.0,1.233,0
20,17,99999.765,0.235,0.421,0.01
20,22,24999.765,0.235,1.213,0.01
7,19,25000.0,0.0,0.218,0
7,21,100000.0,0.0,0.804,0
7,2,100000.0,0.0,0.918,0
7,6,1550.0,0.0,1.088,0
7,17,100000.0,0.0,0.467,0
7,1,100000.0,0.0,0.156,0
21,7,99999.765,0.235,0.804,0.01
21,18,24999.765,0.235,0.479,0.01
21,3,100000.0,0.0,1.398,0
18,21,25000.0,0.0,0.478,0
18,2,25000.0,0.0,1.442,0
11,3,24999.765,0.235,1.9,0.01
11,10,24999.765,0.235,1.027,0.01
3,11,24999.765,0.235,1.9,0.01
3,21,99999.765,0.235,1.398,0.01
3,1,99999.765,0.235,1.52,0.01
3,14,1550.0,0.0,0.878,0
3,10,100000.0,0.0,0.773,0
1,3,100000.0,0.0,1.52,0
1,16,100000.0,0.0,1.237,0
1,7,100000.0,0.0,0.156,0
4,16,100000.0,0.0,0.57,0
4,2,100000.0,0.0,1.028,0
16,4,99999.765,0.235,0.569,0.01
16,5,24999.765,0.235,1.43,0.01
16,9,99999.765,0.235,1.473,0.01
16,1,99999.765,0.235,1.237,0.01
16,10,99999.765,0.235,1.712,0.01
5,16,25000.0,0.0,1.43,0
5,8,25000.0,0.0,0.882,0
9,16,100000.0,0.0,1.473,0
9,15,25000.0,0.0,1.069,0
9,8,25000.0,0.0,0.894,0
10,16,100000.0,0.0,1.712,0
10,17,100000.0,0.0,0.634,0
10,11,25000.0,0.0,1.027,0
10,3,100000.0,0.0,0.772,0
10,12,100000.0,0.0,0.001,0
2,13,99999.765,0.235,1.385,0.01
2,7,99999.765,0.235,0.917,0.01
2,23,24999.765,0.235,0.001,0.01
2,4,99999.765,0.235,1.028,0.01
2,18,24999.765,0.235,1.442,0.01
2,12,99999.765,0.235,0.001,0.01
23,2,25000.0,0.0,0.001,0
23,17,25000.0,0.0,0.001,0
12,2,99999.765,0.235,0.001,0.01
12,10,99999.765,0.235,0.001,0.01
12,22,99999.765,0.235,0.001,0.01
17,13,100000.0,0.0,0.001,0
17,7,100000.0,0.0,0.467,0
17,23,25000.0,0.0,0.001,0
17,20,100000.0,0.0,0.421,0
17,10,100000.0,0.0,0.634,0
8,9,24999.765,0.235,0.893,0.01
8,5,25000.0,0.0,0.882,0
14,13,1550.0,0.0,104.924,0
14,3,1550.0,0.0,0.878,0
22,20,24999.765,0.235,1.214,0.01
22,12,99999.765,0.235,0.001,0.01
