node1,node2,available_bandwidth,throughput,delay,packet_loss
19,6,1549.76,0.24,1.172,0.01
19,13,24666.167,333.833,1.443,0.01
19,7,24791.264,208.736,1.849,0.01
6,19,1544.043,5.957,1.172,0.01
6,7,1448.491,101.509,0.434,0.01
13,19,24696.192,303.808,1.443,0.01
13,2,97343.168,2662.789,0.334,0
13,17,99273.243,726.757,0.297,0.01
13,14,1371.289,178.711,0.376,0.01
15,20,24982.129,17.88,0.409,0.01
15,9,24940.43,59.57,0.299,0.01
20,15,25000.0,0.0,0.408,0
20,17,99600.44,399.36,0.022,0.01
20,22,24803.08,196.92,0.274,0.01
7,19,24797.461,202.539,1.85,0.01
7,21,98766.897,1233.103,0.262,0.01
7,2,99171.974,828.026,0.505,0.01
7,6,1395.117,154.883,0.433,0.01
7,17,97390.825,2603.218,0.35,0.23
7,1,99737.891,261.978,1.45,0.01
21,7,99261.089,744.868,0.262,0
21,18,23599.86,1394.183,0.148,0.42
21,3,99690.235,309.765,0.267,0.01
18,21,24636.622,363.378,0.148,0.01
18,2,23665.627,1340.33,0.125,0
11,3,24946.387,53.613,0.265,0.01
11,10,17428.626,7565.417,0.374,0.08
3,11,23879.84,1120.16,0.265,0.01
3,21,99094.293,905.707,0.267,0.01
3,1,99922.319,77.642,0.234,0.01
3,14,1234.278,315.722,0.682,0.01
3,10,98439.26,1560.74,0.515,0.01
1,3,99410.549,589.745,0.234,0.01
1,16,96427.572,3574.213,0.303,0.01
1,7,100000.0,0.0,1.45,0
4,16,100000.0,0.0,0.257,0
4,2,82721.95999999999,17269.405,0.354,0.01
16,4,81914.243,18094.8,0.257,0.01
16,5,19972.034,5030.48,0.328,0.01
16,9,96997.421,3002.579,0.485,0.01
16,1,99725.737,274.126,0.303,0.01
16,10,96502.989,3497.011,0.544,0.01
5,16,16226.88,8768.736,0.328,0.01
5,8,23319.28,1679.88,0.108,0.01
9,16,92517.981,7482.019,0.485,0.01
9,15,24910.405,89.595,0.299,0.01
9,8,24999.76,0.24,52.715,0.01
10,16,89849.235,10156.722,0.544,0
10,17,93483.018,6516.982,0.575,0.01
10,11,23754.983,1245.017,0.373,0.01
10,3,99428.126,571.874,0.515,0.01
10,12,94912.704,5083.88,0.612,0.12
2,13,99999.76,0.24,0.334,0.01
2,7,96068.126,3925.917,0.505,0.15
2,23,24993.803,6.197,0.738,0.01
2,4,98331.794,1669.04,0.354,0.01
2,18,24999.76,0.24,0.125,0.01
2,12,86971.754,13022.84,0.452,0.09
23,2,25000.0,0.0,0.739,0
23,17,24970.215,29.785,33.225,0.01
12,2,99141.52,858.051,0.452,0.01
12,10,96948.24,3050.235,0.612,0.01
12,22,99326.28,673.72,0.232,0.01
17,13,99165.777,834.223,0.297,0.01
17,7,99517.241,482.759,0.351,0.01
17,23,24946.147,53.853,33.225,0.01
17,20,99016.852,983.64,0.022,0.01
17,10,93327.896,6666.147,0.575,0.09
8,9,25000.0,0.0,52.715,0
8,5,20442.879,4559.4,0.109,0.01
14,13,1543.803,6.197,0.376,0.01
14,3,1198.296,351.704,0.682,0.01
22,20,24910.36,89.64,0.274,0.01
22,12,99540.84,459.16,0.232,0.01
