node1,node2,available_bandwidth,throughput,delay,packet_loss
19,6,1548.949,1.051,0.154,0.01
19,13,24998.949,1.05,0.35,0.01
19,7,24998.949,1.05,0.094,0.01
6,19,1549.189,0.811,0.153,0.01
6,7,1548.909,1.09,0.183,0.01
13,19,24998.91,1.091,0.35,0.01
13,2,99999.19,0.81,0.062,0.01
13,17,99999.189,0.81,0.001,0.01
13,14,1549.19,0.811,0.001,0.01
15,20,24999.189,0.81,0.966,0.01
15,9,24999.189,0.81,0.515,0.01
20,15,24999.19,0.811,0.965,0.01
20,17,99998.95,1.05,0.337,0.01
20,22,24998.95,1.05,0.067,0.01
7,19,24999.19,0.811,0.094,0.01
7,21,99999.19,0.81,0.965,0.01
7,2,99999.189,0.81,0.367,0.01
7,6,1549.19,0.811,0.183,0.01
7,17,99999.19,0.81,0.001,0.01
7,1,99999.19,0.812,0.17,0.01
21,7,99998.95,1.05,0.965,0.01
21,18,24998.95,1.05,7.857,0.01
21,3,99999.19,0.811,0.529,0.01
18,21,24998.95,1.05,7.857,0.01
18,2,24998.95,1.05,1.955,0.01
11,3,24998.951,1.051,1.036,0.01
11,10,24998.951,1.05,0.752,0.01
3,11,24998.949,1.049,1.037,0.01
3,21,99998.949,1.05,0.529,0.01
3,1,99998.949,1.052,3.372,0.01
3,14,1549.189,0.811,0.001,0.01
3,10,99999.189,0.811,0.859,0.01
1,3,99998.948,1.051,3.372,0.01
1,16,99998.948,1.05,0.521,0.01
1,7,99999.188,0.81,0.17,0.01
4,16,99999.189,0.81,1.21,0.01
4,2,99998.91,1.09,1.76,0.01
16,4,99999.19,0.811,1.21,0.01
16,5,24998.91,1.09,0.715,0.01
16,9,99999.19,0.81,0.926,0.01
16,1,99999.19,0.812,0.521,0.01
16,10,99999.19,0.811,0.885,0.01
5,16,24998.95,1.05,0.715,0.01
5,8,24998.95,1.05,0.954,0.01
9,16,99998.91,1.09,0.926,0.01
9,15,24999.19,0.811,0.515,0.01
9,8,24999.19,0.811,0.365,0.01
10,16,99998.67,1.329,0.885,0.01
10,17,99998.95,1.05,0.001,0.01
10,11,24999.189,0.81,0.753,0.01
10,3,99999.189,0.811,0.859,0.01
10,12,99998.91,1.09,0.31,0.01
2,13,99998.91,1.09,0.062,0.01
2,7,99999.19,0.811,0.367,0.01
2,23,24998.91,1.09,0.715,0.01
2,4,99999.19,0.811,1.76,0.01
2,18,24999.19,0.81,1.955,0.01
2,12,99999.19,0.811,1.436,0.01
23,2,24998.67,1.329,0.715,0.01
23,17,24998.95,1.05,0.363,0.01
12,2,99998.95,1.05,1.436,0.01
12,10,99998.95,1.05,0.31,0.01
12,22,99998.95,1.05,0.656,0.01
17,13,99999.19,0.811,0.001,0.01
17,7,99998.91,1.09,0.001,0.01
17,23,24998.91,1.09,0.363,0.01
17,20,99999.19,0.81,0.337,0.01
17,10,99999.19,0.811,0.001,0.01
8,9,24998.95,1.05,0.365,0.01
8,5,24999.189,0.811,0.955,0.01
14,13,1549.189,0.81,0.001,0.01
14,3,1549.189,0.811,0.001,0.01
22,20,24998.95,1.05,0.067,0.01
22,12,99998.671,1.33,0.656,0.01
