node1,node2,available_bandwidth,throughput,delay,packet_loss
19,6,1466.602,83.398,0.264,0.01
19,13,24201.759,798.64,0.174,0.01
19,7,24833.203,166.797,0.853,0.01
6,19,1520.215,29.785,0.264,0.01
6,7,1418.946,131.054,1.333,0.01
13,19,24380.16,619.53,0.174,0.01
13,2,96411.84,3592.324,0.352,0
13,17,95857.56,4146.327,0.603,0
13,14,846.48,703.168,1.208,0.01
15,20,23211.76,1787.346,0.001,0.01
15,9,24654.253,345.747,0.553,0.01
20,15,24720.02,280.12,0.001,0.01
20,17,97259.77,2740.23,0.685,0.01
20,22,24678.321,321.679,0.374,0.01
7,19,24850.835,149.165,0.853,0.01
7,21,98367.536,1632.464,0.001,0.01
7,2,99999.76,0.24,1.482,0.01
7,6,1472.319,77.681,1.333,0.01
7,17,99362.04,637.641,1.516,0.01
7,1,96526.817,3481.618,1.652,0
21,7,98516.702,1483.298,0.001,0.01
21,18,23081.839,1924.118,0.001,0
21,3,99958.061,41.939,0.001,0.01
18,21,24594.683,405.317,0.001,0.01
18,2,23039.9,1960.1,0.264,0.01
11,3,24952.344,47.656,0.001,0.01
11,10,17023.548,7976.452,0.001,0.01
3,11,23022.269,1977.731,0.001,0.01
3,21,97849.515,2144.528,0.001,0.28
3,1,98594.143,1404.453,0.001,0.01
3,14,1055.327,494.673,0.001,0.01
3,10,99999.76,0.24,0.001,0.01
1,3,99904.783,95.312,0.001,0.01
1,16,88085.951,11920.0,0.368,0.05
1,7,100000.0,0.0,1.652,0
4,16,99999.76,0.24,0.001,0.01
4,2,96532.774,3467.226,0.001,0.01
16,4,96503.228,3496.772,0.001,0.01
16,5,18232.824,6767.176,0.461,0.01
16,9,89634.783,10365.217,0.326,0.01
16,1,99743.848,255.896,0.368,0.01
16,10,77167.24,22803.478,0.001,0.08
5,16,11751.344,13248.656,0.461,0.01
5,8,24999.76,0.24,0.338,0.01
9,16,91963.738,8036.262,0.326,0.01
9,15,23022.269,1977.731,0.553,0.01
9,8,20746.686999999998,4255.44,1.395,0.01
10,16,89759.88,10251.2,0.001,0
10,17,95657.331,4342.669,0.376,0.01
10,11,22891.214,2102.829,0.001,0.28
10,3,99356.642,643.358,0.001,0.01
10,12,72150.925,27866.947,0.001,0
2,13,97152.544,2848.88,0.352,0.01
2,7,97468.266,2531.734,1.482,0.01
2,23,25000.0,0.0,0.205,0
2,4,96771.294,3228.706,0.001,0.01
2,18,22968.656,2031.344,0.264,0.01
2,12,95663.288,4336.712,0.357,0.01
23,2,24987.846,12.154,0.205,0.01
23,17,24946.147,53.853,1.699,0.01
12,2,87430.685,12569.315,0.357,0.01
12,10,99350.685,649.315,0.001,0.01
12,22,99023.048,976.952,0.291,0.01
17,13,99225.587,774.8,0.603,0.01
17,7,98373.733,1627.08,1.516,0.01
17,23,24976.172,23.828,1.699,0.01
17,20,99374.513,625.487,0.684,0.01
17,10,88032.344,11967.656,0.376,0.01
8,9,24928.48,71.484,1.394,0.01
8,5,18509.56,6487.196,0.338,0.01
14,13,1383.203,166.88,1.208,0.01
14,3,1156.837,393.163,0.001,0.01
22,20,24112.404,887.596,0.373,0.01
22,12,100000.0,0.0,0.291,0
