node1,node2,free_bw,used_bw,pkloss,delay
1,3,99999.798599,201.401419,0.0,0.797629
1,7,99999.798599,201.401419,0.0,1.124978
1,16,99999.798599,201.401419,0.0,1.306891
2,4,99999.798514,201.485959,0.0,0.433207
2,7,99999.798565,201.435235,0.0,1.413345
2,12,99999.798522,201.477502,0.0,0.789642
2,13,99999.798556,201.443685,0.0,1.428127
2,18,24999.798522,201.477502,0.0,1.244068
2,23,24999.798514,201.485959,0.0,1.449823
3,10,99999.798607,201.392968,0.0,0.706315
3,11,24999.838886,161.114374,0.0,0.020385
3,14,1549.798607,201.392968,0.0,1.510739
3,21,99999.838886,161.114374,0.0,0.060201
4,16,99999.798556,201.443692,0.0,0.641465
5,8,24999.838872,161.127895,0.0,0.67389
5,16,24999.798599,201.401419,0.0,1.013637
6,7,1549.838879,161.121135,0.0,0.403047
6,19,1549.838879,161.121135,0.0,2.02167
7,17,99999.798565,201.435235,0.0,0.880361
7,19,24999.798607,201.392968,0.0,1.422048
7,21,99999.751615,248.384661,0.0,1.152635
8,9,24999.838879,161.121135,0.0,0.821948
9,15,24999.798607,201.392968,0.0,1.495957
9,16,99999.798607,201.392968,0.0,0.699282
10,11,24999.798607,201.392968,0.0,0.803232
10,12,99999.798565,201.435235,0.0,0.772476
10,16,99999.798607,201.392968,0.0,0.869751
10,17,99999.838852,161.148188,0.0,0.478506
12,22,99999.798522,201.477502,0.0,1.154304
13,14,1549.798599,201.401419,0.0,1.296163
13,17,99999.751553,248.447212,0.0,1.217484
13,19,24999.798599,201.401419,0.0,1.391053
15,20,24999.798565,201.435235,0.0,1.639128
17,20,99999.798522,201.477502,0.0,1.055479
17,23,24999.798514,201.485959,0.0,1.757979
18,21,24999.798565,201.435235,0.0,1.937866
20,22,24999.751511,248.488919,0.0,1.27697
