node1,node2,free_bw,used_bw,pkloss,delay
1,3,88461.035228,11538964.771517,0.0,1.325488
1,7,97914.913237,2085086.76335,0.000228,0.739336
1,16,79756.083494,20243916.505994,0.000292,0.530243
2,4,90424.020457,9575979.543114,0.000124,2.919793
2,7,98907.623439,1092376.561321,0.0,0.463963
2,12,92801.42215,7198577.849694,0.000164,0.202417
2,13,85552.207226,14447792.773912,0.000455,2.773643
2,18,24040.32193,959678.070089,0.0,2.129436
2,23,21497.748766,3502251.23353,0.000504,1.24073
3,10,84866.353152,15133646.847508,0.000193,2.17557
3,11,24996.801207,3198.792914,0.0,0.923872
3,14,45.038348,1504961.652336,0.0,1.561284
3,21,97032.663581,2967336.419161,0.000149,1.528382
4,16,82008.109824,17991890.17605,0.000394,0.298977
5,8,11202.781958,13797218.042489,0.000687,3.192306
5,16,24994.801492,5198.507754,0.0,1.009345
6,7,1224.085003,325914.997066,0.0,1.554608
6,19,1549.839054,160.945555,0.0,1.726747
7,17,92296.998781,7703001.218858,0.0,2.970695
7,19,23911.706272,1088293.72755,0.0,2.799153
7,21,93027.60332,6972396.680359,0.000238,0.401258
8,9,694.629259,24305370.741402,0.000801,0.878215
9,15,24524.177878,475822.122467,0.0,0.40257
9,16,59954.713832,40045286.167803,0.000321,0.092268
10,11,12874.993713,12125006.287199,0.000203,2.68662
10,12,72589.595615,27410404.384908,0.000873,2.054453
10,16,76368.141504,23631858.496102,0.000306,1.778483
10,17,67820.845963,32179154.036986,0.000678,2.855062
12,22,98006.424285,1993575.715335,0.0,0.484228
13,14,1549.839048,160.952301,0.0,0.994444
13,17,83589.247067,16410752.932712,0.000329,5.022287
13,19,24541.204576,458795.423917,0.0,2.572775
15,20,24999.798767,201.232558,0.0,2.712131
17,20,98821.19423,1178805.769876,0.0,2.117634
17,23,21610.47635,3389523.649782,0.000508,2.751231
18,21,18071.576646,6928423.354057,0.0,2.948761
20,22,24935.86045,64139.550486,0.0,0.662327
