node1,node2,free_bw,used_bw,pkloss,delay
1,3,99999.758491,241.509434,0.0,0.137925
1,7,99999.798742,201.257862,0.0,1.099944
1,16,99999.798742,201.257862,0.0,0.47338
2,4,99999.798717,201.283181,0.0,1.592159
2,7,99999.798734,201.266301,0.0,1.269817
2,12,99999.798717,201.283181,0.0,0.998735
2,13,99999.798734,201.266301,0.0,1.46544
2,18,24999.798725,201.27474,0.0,1.702428
2,23,24999.798708,201.291623,0.0,0.435829
3,10,99999.758491,241.509434,0.0,72.794199
3,11,24999.838987,161.013041,0.0,1.391768
3,14,1549.798742,201.257862,0.0,1.122475
3,21,99999.838987,161.013041,0.0,1.43373
4,16,99999.798725,201.274741,0.0,1.489043
5,8,24999.83898,161.019793,0.0,1.403928
5,16,24999.798725,201.274741,0.0,1.355886
6,7,1549.838994,161.006289,0.0,0.646591
6,19,1549.838994,161.006289,0.0,1.53482
7,17,99999.798725,201.274741,0.0,2.168775
7,19,24999.798742,201.257862,0.0,0.898242
7,21,99999.798734,201.266301,0.0,0.377536
8,9,24999.838987,161.013041,0.0,0.002742
9,15,24999.751772,248.228438,0.0,0.510573
9,16,99999.798734,201.266301,0.0,1.093388
10,11,24999.798734,201.266301,0.0,2.359629
10,12,99999.83898,161.019793,0.0,1.289964
10,16,99999.798742,201.257862,0.0,0.647545
10,17,99999.83898,161.019793,0.0,1.448274
12,22,99999.798708,201.291621,0.0,1.665115
13,14,1549.798742,201.257862,0.0,0.697851
13,17,99999.798725,201.274741,0.0,1.167893
13,19,24999.798742,201.257862,0.0,1.110792
15,20,24999.798725,201.274741,0.0,0.43273
17,20,99999.798708,201.291621,0.0,1.357198
17,23,24999.7987,201.300063,0.0,1.253724
18,21,24999.798725,201.27474,0.0,0.960708
20,22,24999.798708,201.291621,0.0,1.435995
