node1,node2,available_bandwidth,throughput,delay,packet_loss
14,13,1549.76,0.24,0.661,0.01
14,3,1550.0,0.0,0.927,0
13,14,1550.0,0.0,0.661,0
13,17,99999.76,0.24,0.001,0.01
13,2,99999.76,0.24,1.937,0.01
13,19,24999.76,0.24,0.694,0.01
19,7,25000.0,0.0,0.122,0
19,13,25000.0,0.0,0.694,0
19,6,1550.0,0.0,0.253,0
7,19,25000.0,0.0,0.122,0
7,17,100000.0,0.0,0.789,0
7,2,100000.0,0.0,0.622,0
7,1,100000.0,0.0,1.101,0
7,21,100000.0,0.0,1.033,0
7,6,1550.0,0.0,1.303,0
17,13,100000.0,0.0,0.001,0
17,7,100000.0,0.0,0.789,0
17,23,25000.0,0.0,0.273,0
17,20,100000.0,0.0,0.001,0
17,10,99999.76,0.24,0.884,0.01
23,17,24999.76,0.24,0.272,0.01
23,2,24999.76,0.24,0.461,0.01
20,17,99999.76,0.24,0.001,0.01
20,15,25000.0,0.0,0.232,0
20,22,24999.76,0.24,0.5,0.01
2,13,100000.0,0.0,1.937,0
2,7,100000.0,0.0,0.621,0
2,23,25000.0,0.0,0.462,0
2,4,100000.0,0.0,49.918,0
2,12,100000.0,0.0,0.885,0
2,18,25000.0,0.0,0.794,0
4,2,99999.76,0.24,49.917,0.01
4,16,99999.76,0.24,0.608,0.01
12,2,100000.0,0.0,0.885,0
12,22,100000.0,0.0,0.102,0
12,10,100000.0,0.0,1.314,0
18,2,24999.76,0.24,0.793,0.01
18,21,25000.0,0.0,0.389,0
16,4,100000.0,0.0,0.608,0
16,5,25000.0,0.0,0.837,0
16,9,100000.0,0.0,0.859,0
16,1,100000.0,0.0,0.885,0
16,10,100000.0,0.0,2.023,0
5,16,24999.76,0.24,0.838,0.01
5,8,24999.76,0.24,0.148,0.01
15,20,24999.76,0.24,0.232,0.01
15,9,24999.76,0.24,0.459,0.01
22,12,100000.0,0.0,0.102,0
22,20,25000.0,0.0,0.5,0
9,16,99999.76,0.24,0.859,0.01
9,15,25000.0,0.0,0.459,0
9,8,25000.0,0.0,0.238,0
1,16,100000.0,0.0,0.885,0
1,7,100000.0,0.0,1.101,0
1,3,99999.72,0.28,1.866,0.01
10,16,99999.76,0.24,2.023,0.01
10,12,100000.0,0.0,1.313,0
10,17,100000.0,0.0,0.884,0
10,11,24999.72,0.28,1.057,0.01
10,3,100000.0,0.0,1.19,0
11,10,25000.0,0.0,1.057,0
11,3,25000.0,0.0,1.316,0
3,10,100000.0,0.0,1.191,0
3,1,100000.0,0.0,1.866,0
3,11,24999.76,0.24,1.316,0.01
3,14,1549.76,0.24,0.927,0.01
3,21,100000.0,0.0,0.915,0
21,7,100000.0,0.0,1.033,0
21,3,100000.0,0.0,0.916,0
21,18,25000.0,0.0,0.389,0
6,7,1549.76,0.24,1.303,0.01
6,19,1549.76,0.24,0.254,0.01
8,9,25000.0,0.0,0.239,0
8,5,25000.0,0.0,0.148,0
