node1,node2,available_bandwidth,throughput,delay,packet_loss
14,13,1550.0,0.0,3.218,0
14,3,1110.04,439.96,0.001,0.01
13,14,238.64699999999993,1310.698,3.218,0.01
13,17,95746.701,4249.054,0.001,0.01
13,2,100000.0,0.0,2.305,0
13,19,25000.0,0.0,1.414,0
19,7,24482.398,517.344,1.387,0.01
19,13,24999.76,0.24,1.414,0.01
19,6,1549.76,0.24,0.418,0.01
7,19,24194.864,805.538,1.387,0.01
7,17,92190.247,7817.752,0.001,0
7,2,82230.239,17754.946,106.594,0.03
7,1,92258.113,7744.275,0.745,0
7,21,99937.314,62.655,24.637,0.01
7,6,1419.835,130.23,0.184,0.01
17,13,99999.76,0.24,0.001,0.01
17,7,86496.423,13510.319,0.001,0.01
17,23,24999.76,0.24,0.001,0.01
17,20,99256.894,743.106,0.001,0.01
17,10,100000.0,0.0,0.001,0
23,17,25000.0,0.0,0.001,0
23,2,24893.544,106.403,0.001,0.01
20,17,99518.838,481.162,0.001,0.01
20,15,25000.0,0.0,0.367,0
20,22,25000.0,0.0,0.788,0
2,13,97174.387,2834.629,2.305,0
2,7,99541.226,459.003,106.594,0.01
2,23,24902.822,97.226,0.001,0.01
2,4,99163.126,837.292,0.034,0.01
2,12,71067.477,28941.016,0.384,0.02
2,18,20447.445,4552.555,0.239,0.01
4,2,86083.75,13915.253,0.034,0
4,16,97915.083,2082.837,0.001,0.01
12,2,99999.76,0.24,0.385,0.01
12,22,98307.918,1691.238,74.936,0.01
12,10,93494.666,6493.432,1.889,0.16
18,2,23061.852,1938.148,0.239,0.01
18,21,24999.76,0.239,1.089,0.01
16,4,85989.043,14013.044,0.001,0.08
16,5,18644.313000000002,6358.858,0.001,0.01
16,9,91831.769,8168.231,0.934,0.01
16,1,94202.913,5797.25,0.585,0
16,10,99993.855,6.151,0.001,0.01
5,16,14521.417,10485.247,0.001,0
5,8,20523.706,4478.529,0.588,0.01
15,20,24997.224,2.774,0.368,0.01
15,9,24839.964,159.876,0.446,0.01
22,12,99435.545,564.737,74.936,0.01
22,20,24999.76,0.24,0.788,0.01
9,16,92401.305,7598.695,0.934,0.01
9,15,24763.372,236.865,0.446,0.01
9,8,24999.761,0.24,0.867,0.01
1,16,85602.527,14399.944,0.585,0.07
1,7,86979.44,13022.758,0.745,0.16
1,3,99822.972,177.382,0.001,0.01
10,16,100000.0,0.0,0.001,0
10,12,99999.76,0.24,1.889,0.01
10,17,99999.76,0.24,0.001,0.01
10,11,24999.76,0.239,0.565,0.01
10,3,92155.467,7844.533,0.001,0.01
11,10,25000.0,0.0,0.565,0
11,3,18698.35,6290.089,0.001,0.27
3,10,99997.332,2.668,0.001,0.01
3,1,92587.914,7409.192,0.001,0
3,11,20126.366,4886.607,0.001,0
3,14,1550.0,0.0,0.001,0
3,21,91935.688,8062.212,0.001,0
21,7,93331.573,6677.707,24.637,0
21,3,99999.761,0.24,0.001,0.01
21,18,24999.761,0.24,1.089,0.01
6,7,1383.834,166.083,0.183,0.01
6,19,1550.0,0.0,0.418,0
8,9,24999.76,0.239,0.867,0.01
8,5,20048.635000000002,4942.942,0.589,0.1
