node1,node2,free_bw,used_bw,delay,pkloss
1,3,99303.412792,696587.208328,1.023054,0.0
1,7,98436.72411,1563275.890366,1.357555,0.0
1,16,96207.431479,3792568.521254,1.46246,0.003302
2,4,88434.833415,11565166.584605,0.735998,0.0
2,7,94921.13573,5078864.270474,0.395298,0.0
2,12,93548.714919,6451285.081241,0.109196,0.0
2,13,98909.630724,1090369.276219,0.322938,0.0
2,18,19564.103069,5435896.930904,0.757456,0.0
2,23,24249.499426,750500.57443,0.0,0.0
3,10,99272.06663,727933.370117,1.18351,0.0
3,11,21912.007877,3087992.122754,0.0,0.0
3,14,998.136872,551863.12816,57.975054,0.0
3,21,96743.64255,3256357.450195,0.688553,0.0
4,16,95621.017561,4378982.438864,3.012538,0.0
5,8,17480.416862,7519583.137876,0.749826,0.0
5,16,24240.741835,759258.165108,1.464725,0.0
6,7,1539.08121,10918.790432,1.674652,0.0
6,19,1294.468788,255531.211555,0.463724,0.0
7,17,95844.529788,4155470.211718,1.023531,0.0
7,19,23913.054325,1086945.675365,0.212431,0.0
7,21,99626.049565,373950.434925,1.074076,0.0
8,9,11927.035552,13072964.448063,0.874639,0.016817
9,15,8588.488429,16411511.570655,1.208901,0.017717
9,16,92681.1226,7318877.400295,0.624418,0.0
10,11,18100.552259,6899447.741107,4.258156,0.001996
10,12,94452.063023,5547936.976859,0.730038,0.001363
10,16,99817.863122,182136.878385,2.331138,0.0
10,17,97510.356146,2489643.853602,0.961781,0.0
12,22,88825.169867,11174830.132939,0.0,0.0
13,14,1335.544067,214455.933038,7.071733,0.0
13,17,97393.953717,2606046.282619,1.419306,0.0
13,19,24775.80174,224198.260299,0.623703,0.0
15,20,8632.727991,16367272.008843,1.575708,0.0
17,20,90996.591275,9003408.725166,0.144958,0.006605
17,23,24296.49762,703502.37978,0.920057,0.0
18,21,21147.763007,3852236.993271,4.864812,0.0
20,22,13746.399646,11253600.354485,0.0,0.008667
