node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.801587,198.412698,1.178384,0.0
1,7,99999.801579,198.420901,1.675963,0.0
1,16,99999.801587,198.412698,0.09656,0.0
2,4,99999.801587,198.412698,1.713872,0.0
2,7,99999.801579,198.420901,1.6222,0.0
2,12,99999.801587,198.412698,1.77002,0.0
2,13,99999.801587,198.412698,1.810193,0.0
2,18,24999.755291,244.708995,2.646565,0.0
2,23,24999.755291,244.708995,1.482606,0.0
3,10,99999.801579,198.420901,1.028419,0.0
3,11,24999.801587,198.412698,2.056003,0.0
3,14,1549.801587,198.412698,1.377821,0.0
3,21,99999.801579,198.420901,1.247406,0.0
4,16,99999.801587,198.412698,1.000643,0.0
5,8,24999.801587,198.412698,1.530409,0.0
5,16,24999.801587,198.412698,2.226591,0.0
6,7,1549.708983,291.017321,1.539946,0.0
6,19,1549.84127,158.730159,1.65844,0.0
7,17,99999.801579,198.420901,1.985788,0.0
7,19,24999.84127,158.730159,1.550913,0.0
7,21,99999.801579,198.420901,1.110196,0.0
8,9,24999.794974,205.026455,1.486301,0.0
9,15,24999.794974,205.026455,0.835061,0.0
9,16,99999.801587,198.412698,0.312686,0.0
10,11,24999.801587,198.412698,1.868606,0.0
10,12,99999.841263,158.736721,1.348257,0.0
10,16,99999.801579,198.420901,0.319958,0.0
10,17,99999.801571,198.429103,0.784039,0.0
12,22,99999.801587,198.412698,1.715779,0.0
13,14,1549.84127,158.730159,0.974655,0.0
13,17,99999.801579,198.420901,1.809239,0.0
13,19,24999.801587,198.412698,1.217008,0.0
15,20,24999.801587,198.412698,1.467466,0.0
17,20,99999.755281,244.719111,2.002954,0.0
17,23,24999.801587,198.412698,1.760721,0.0
18,21,24999.755281,244.719111,1.412392,0.0
20,22,24999.755291,244.708995,1.991153,0.0
