node1,node2,free_bw,used_bw,delay,pkloss
1,3,93025.53826,6974461.739864,1.810193,0.0
1,7,94005.382627,5994617.373199,1.577139,0.0
1,16,90834.657139,9165342.86071,3.895044,0.0
2,4,97519.00735,2480992.649736,1.35529,0.0
2,7,97687.417228,2312582.7723,1.122832,0.0
2,12,97904.443057,2095556.943303,0.516772,0.0
2,13,98282.506491,1717493.508628,2.290726,0.0
2,18,22939.683303,2060316.696851,2.360582,0.0
2,23,24377.918217,622081.782954,1.266837,0.0
3,10,92984.660695,7015339.304791,2.337813,0.0
3,11,21721.836717,3278163.282579,2.385378,0.0
3,14,962.806311,587193.688882,1.879454,0.0
3,21,98570.677623,1429322.376531,0.929356,0.0
4,16,99117.01208,882987.920125,2.464652,0.0
5,8,24878.800608,121199.392127,2.339125,0.0
5,16,21656.816501,3343183.499055,1.474977,0.0
6,7,1460.956693,89043.306763,1.734376,0.0
6,19,1531.119356,18880.644265,2.308011,0.0
7,17,93662.519517,6337480.483195,0.0,0.0
7,19,24970.906402,29093.598488,2.312183,0.0
7,21,99089.219492,910780.507848,1.181841,0.0
8,9,21735.620089,3264379.911454,1.79553,0.0
9,15,23386.993195,1613006.805458,2.622962,0.0
9,16,93015.085545,6984914.454762,2.907634,0.0
10,11,24395.491967,604508.032554,1.925945,0.0
10,12,92332.891849,7667108.151301,0.528932,0.0
10,16,99165.236256,834763.74394,2.308607,0.0
10,17,98377.197798,1622802.202317,1.23322,0.0
12,22,99194.545707,805454.292826,0.0,0.0
13,14,1523.342537,26657.463375,1.917362,0.0
13,17,99241.892928,758107.072236,0.007153,0.0
13,19,24351.703849,648296.151306,2.100706,0.0
15,20,23384.7553,1615244.700082,1.264334,0.0
17,20,98085.22823,1914771.770396,1.847506,0.0
17,23,24328.452297,671547.70318,0.968099,0.0
18,21,23909.113321,1090886.679267,0.730157,0.0
20,22,24322.707423,677292.576845,0.0,0.0
