node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.803069,196.931156,0.722408,0.0
1,7,99999.757128,242.871795,0.93627,0.0
1,16,99999.763692,236.307693,0.480533,0.0
2,4,99999.842462,157.538462,1.610398,0.0
2,7,99999.842468,157.531999,1.359701,0.0
2,12,99999.803085,196.914998,1.137614,0.0
2,13,99999.796521,203.478832,1.134157,0.0
2,18,24999.763702,236.297998,1.126051,0.0
2,23,24999.842468,157.531999,1.425266,0.0
3,10,99999.803077,196.923077,1.587272,0.0
3,11,24999.803085,196.914998,0.952959,0.0
3,14,1549.803077,196.923077,0.0,0.0
3,21,99999.803077,196.923077,0.64075,0.0
4,16,99999.803077,196.923077,1.551986,0.0
5,8,24999.803077,196.923077,0.0,0.0
5,16,24999.763702,236.297998,0.854015,0.0
6,7,1549.803077,196.923077,0.0,0.0
6,19,1549.842455,157.544925,0.0,0.0
7,17,99999.842468,157.531999,1.273632,0.0
7,19,24999.842462,157.538462,1.355052,0.0
7,21,99999.803085,196.914998,1.62828,0.0
8,9,24999.803077,196.923077,0.0,0.0
9,15,24999.803077,196.923077,0.467658,0.0
9,16,99999.763702,236.297998,1.496315,0.0
10,11,24999.803085,196.914998,0.458717,0.0
10,12,99999.803085,196.914998,1.571059,0.0
10,16,99999.803085,196.914998,1.126647,0.0
10,17,99999.842468,157.531999,2.091169,0.0
12,22,99999.77683,223.170331,1.124024,0.00123
13,14,1549.803085,196.914998,0.767708,0.0
13,17,99999.803085,196.914998,1.276731,0.0
13,19,24999.842462,157.538462,1.355886,0.0
15,20,24999.803069,196.931156,0.218987,0.0
17,20,99999.842462,157.538462,1.066685,0.0
17,23,24999.803085,196.914998,1.429319,0.0
18,21,24999.763702,236.297998,1.199722,0.0
20,22,24999.842462,157.538462,0.0,0.0
