node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.80111,198.889533,1.169205,0.0
1,7,99999.80111,198.889533,1.000166,0.0
1,16,99999.840888,159.111627,1.533747,0.0
2,4,99999.801102,198.897775,0.550747,0.0
2,7,99999.754693,245.307256,0.810385,0.0
2,12,99999.840882,159.11822,1.783013,0.0
2,13,99999.80111,198.889533,1.451492,0.0
2,18,24999.840888,159.111627,1.284957,0.0
2,23,24999.801102,198.897775,0.72825,0.0
3,10,99999.801102,198.897775,1.031876,0.0
3,11,24999.840882,159.11822,1.233339,0.0
3,14,1549.840882,159.11822,1.285076,0.0
3,21,99999.840888,159.111627,0.618339,0.0
4,16,99999.80111,198.889533,0.365138,0.0
5,8,24999.801102,198.897775,1.15633,0.0
5,16,24999.840882,159.11822,1.413822,0.0
6,7,1549.80111,198.889533,0.319123,0.0
6,19,1549.80111,198.889533,0.496984,0.0
7,17,99999.801102,198.897775,0.742793,0.0
7,19,24999.801102,198.897775,1.421452,0.0
7,21,99999.801102,198.897775,0.416636,0.0
8,9,24999.80111,198.889533,1.31619,0.0
9,15,24999.80111,198.889533,0.985026,0.0
9,16,99999.840888,159.111627,0.909805,0.0
10,11,24999.801094,198.906017,1.58155,0.0
10,12,99999.801094,198.906017,0.900507,0.0
10,16,99999.801102,198.897775,1.201987,0.0
10,17,99999.801102,198.897775,0.916481,0.0
12,22,99999.801094,198.906017,1.43671,0.0
13,14,1549.801102,198.897775,1.419425,0.0
13,17,99999.80111,198.889533,1.01757,0.0
13,19,24999.80111,198.889533,0.709057,0.0
15,20,24999.80111,198.889533,1.643658,0.0
17,20,99999.80111,198.889533,0.474334,0.0
17,23,24999.80111,198.889533,0.553489,0.0
18,21,24999.840888,159.111627,1.019001,0.0
20,22,24999.80111,198.889533,0.042796,0.0
