node1,node2,free_bw,used_bw,delay,pkloss
1,3,97448.9024,2551097.600363,1.694083,0.0
1,7,91435.684226,8564315.773657,4.265547,0.0
1,16,92382.893433,7617106.567208,1.668215,0.0
2,4,95236.324129,4763675.871137,0.016928,0.0
2,7,92716.512821,7283487.179487,1.090407,0.0
2,12,91683.459566,8316540.433925,0.0,0.0
2,13,99879.838922,120161.078238,1.154184,0.0
2,18,21724.493564,3275506.436068,0.0,0.0
2,23,24669.478632,330521.367521,0.018835,0.0
3,10,99284.168968,715831.032216,1.241565,0.0
3,11,22097.586456,2902413.543721,2.429247,0.0
3,14,1159.206443,390793.55687,1.376033,0.0
3,21,99306.946295,693053.705406,2.574086,0.0
4,16,98361.114398,1638885.601578,1.034498,0.0
5,8,24965.469981,34530.01855,2.816439,0.0
5,16,19681.491782,5318508.218277,1.17743,0.0
6,7,1418.024163,131975.837494,0.982404,0.0
6,19,1547.857243,2142.757349,1.639724,0.0
7,17,86595.715144,13404284.856424,1.681447,0.0
7,19,24424.467456,575532.544379,2.407432,0.0
7,21,99932.211858,67788.141627,0.597,0.0
8,9,20149.042151,4850957.84932,1.404524,0.0
9,15,24176.787277,823212.722761,0.06032,0.0
9,16,87318.719624,12681280.376426,0.926018,0.0
10,11,20335.52597,4664474.030243,2.453089,0.0
10,12,85640.259698,14359740.302432,1.623273,0.0
10,16,89920.486522,10079513.477975,2.454042,0.0
10,17,99128.507149,871492.850605,2.579927,0.0
12,22,98363.752137,1636247.863248,0.38898,0.0
13,14,1302.580539,247419.460881,1.646161,0.0
13,17,96747.431477,3252568.522564,0.0,0.0
13,19,24693.164366,306835.634451,3.625631,0.0
15,20,24072.243918,927756.081525,0.358701,0.0
17,20,99584.455603,415544.397311,0.628114,0.000229
17,23,24606.686115,393313.884873,1.337767,0.0
18,21,23170.239132,1829760.867779,1.863122,0.0
20,22,24708.665352,291334.648258,7.133603,0.0
