node1,node2,free_bw,used_bw,pkloss,delay
1,3,99999.798336,201.663726,0.0,2.396822
1,7,99999.798319,201.680674,0.0,2.208948
1,16,99999.838683,161.317427,0.0,1.413703
2,4,99999.798396,201.604438,0.0,1.23024
2,7,99999.798336,201.663731,0.0,1.132846
2,12,99999.798396,201.604438,0.0,1.28603
2,13,99999.798336,201.663731,0.0,0.940919
2,18,24999.798387,201.612905,0.0,0.789285
2,23,24999.798336,201.663731,0.0,0.624061
3,10,99999.798345,201.655254,0.0,1.331687
3,11,24999.798362,201.638314,0.0,1.537561
3,14,1549.798336,201.663726,0.0,1.531601
3,21,99999.798345,201.655254,0.0,1.899838
4,16,99999.798396,201.604438,0.0,0.994563
5,8,24999.798421,201.579036,0.0,0.267148
5,16,24999.798396,201.604438,0.0,0.257611
6,7,1549.798328,201.672202,0.0,1.714826
6,19,1549.838683,161.317426,0.0,1.330614
7,17,99999.838676,161.32421,0.0,2.048135
7,19,24999.798328,201.672202,0.0,2.245784
7,21,99999.838662,161.337761,0.0,0.427961
8,9,24999.798404,201.59597,0.0,1.098514
9,15,24999.798404,201.59597,0.0,0.53668
9,16,99999.798379,201.621372,0.0,1.108646
10,11,24999.838696,161.303874,0.0,1.155615
10,12,99999.83871,161.290327,0.0,1.850605
10,16,99999.838689,161.310649,0.0,1.821876
10,17,99999.838689,161.310652,0.0,1.393914
12,22,99999.798412,201.587502,0.0,1.932859
13,14,1549.798319,201.680674,0.0,1.367927
13,17,99999.798345,201.655262,0.0,0.824332
13,19,24999.798328,201.672202,0.0,1.139879
15,20,24999.798412,201.587502,0.0,1.286864
17,20,99999.838716,161.283549,0.0,1.321912
17,23,24999.838676,161.32421,0.0,1.339078
18,21,24999.798379,201.621375,0.0,1.299977
20,22,24999.751365,248.635027,0.0,1.533151
