node1,node2,free_bw,used_bw,pkloss,delay
1,3,99999.654744,345.256126,0.0,1.358867
1,7,99999.654744,345.256126,0.0,1.27852
1,16,99999.654729,345.270632,0.0,1.135349
2,4,99999.607576,392.42367,0.0,0.985384
2,7,99999.654613,345.386587,0.0,1.253009
2,12,99999.654628,345.372081,0.0,1.338363
2,13,99999.654628,345.372081,0.0,1.265049
2,18,24999.654599,345.401092,0.0,0.810742
2,23,24999.654628,345.372081,0.0,1.315832
3,10,99999.654628,345.372081,0.0,1.02675
3,11,24999.647909,352.091382,0.0,1.153946
3,14,1549.654628,345.372081,0.0,1.254797
3,21,99999.654613,345.386587,0.0,0.01657
4,16,99999.654599,345.401092,0.0,0.923157
5,8,24999.654628,345.372081,0.0,1.086593
5,16,24999.654613,345.386587,0.0,0.838518
6,7,1549.695033,304.966667,0.0,1.185894
6,19,1549.607873,392.127241,0.0,1.214862
7,17,99999.614296,385.704087,0.0,0.820041
7,19,24999.695046,304.953874,0.0,1.028895
7,21,99999.654599,345.401092,0.0,0.0
8,9,24999.654613,345.386587,0.0,1.32966
9,15,24999.607576,392.42367,0.0,0.951171
9,16,99999.654599,345.401092,0.0,1.417875
10,11,24999.607593,392.40719,0.0,1.01757
10,12,99999.694944,305.056274,0.0,1.308084
10,16,99999.560539,439.460754,0.0,1.010537
10,17,99999.654613,345.386587,0.0,1.034975
12,22,99999.654628,345.372081,0.0,1.340628
13,14,1549.607593,392.40719,0.0,1.415372
13,17,99999.654599,345.401092,0.0,1.562476
13,19,24999.654758,345.241643,0.0,1.176476
15,20,24999.607576,392.42367,0.0,0.966191
17,20,99999.567241,432.759345,0.0,2.652526
17,23,24999.614296,385.704087,0.0,0.761628
18,21,24999.60756,392.440151,0.0,0.418425
20,22,24999.654613,345.386587,0.0,1.616359
