node1,node2,free_bw,used_bw,pkloss,delay
1,3,99999.838872,161.127895,0.0,0.494242
1,7,99999.798615,201.384522,0.0,0.0
1,16,99999.798632,201.367631,0.0,1.514912
2,4,99999.798658,201.342283,0.0,1.649737
2,7,99999.798658,201.342283,0.0,0.594616
2,12,99999.798658,201.342283,0.0,1.377106
2,13,99999.798649,201.350731,0.0,1.18649
2,18,24999.798666,201.333837,0.0,1.470566
2,23,24999.798658,201.342283,0.0,1.283526
3,10,99999.838879,161.121135,0.0,1.336098
3,11,24999.798632,201.367631,0.0,1.719952
3,14,1549.838879,161.121135,0.0,1.428723
3,21,99999.838906,161.094104,0.0,1.318216
4,16,99999.798658,201.342283,0.0,0.0
5,8,24999.798632,201.367622,0.0,0.894904
5,16,24999.798658,201.342283,0.0,1.440763
6,7,1549.798607,201.392974,0.0,0.730276
6,19,1549.798565,201.435226,0.0,0.871181
7,17,99999.838913,161.087341,0.0,0.848174
7,19,24999.798607,201.392974,0.0,0.0
7,21,99999.798658,201.342283,0.0,0.564098
8,9,24999.798649,201.350731,0.0,0.383377
9,15,24999.838913,161.087344,0.0,0.992775
9,16,99999.798675,201.325392,0.0,1.234651
10,11,24999.798649,201.350737,0.0,2.026677
10,12,99999.798624,201.376071,0.0,0.762105
10,16,99999.798641,201.35918,0.0,1.300097
10,17,99999.838906,161.0941,0.0,1.306891
12,22,99999.798649,201.350728,0.0,1.4925
13,14,1549.838892,161.107615,0.0,1.365066
13,17,99999.798641,201.359176,0.0,1.464486
13,19,24999.838872,161.1279,0.0,0.52917
15,20,24999.838899,161.100857,0.0,1.341462
17,20,99999.838919,161.080583,0.0,2.111435
17,23,24999.838919,161.080583,0.0,0.8322
18,21,24999.798666,201.333837,0.0,0.417352
20,22,24999.798649,201.350728,0.0,0.818849
