node1,node2,free_bw,used_bw,pkloss,delay
1,3,99999.83894,161.060318,0.0,1.334906
1,7,99999.798658,201.342283,0.0,1.017451
1,16,99999.798641,201.359174,0.0,0.0
2,4,99999.798666,201.333837,0.0,1.872182
2,7,99999.798666,201.333837,0.0,1.90866
2,12,99999.798666,201.333837,0.0,2.285004
2,13,99999.798675,201.325394,0.0,1.014233
2,18,24999.798666,201.333837,0.0,1.379251
2,23,24999.798666,201.333837,0.0,1.161814
3,10,99999.83896,161.040051,0.0,1.753211
3,11,24999.798683,201.316952,0.0,1.575708
3,14,1549.7987,201.300063,0.0,2.095699
3,21,99999.83894,161.060318,0.0,0.754714
4,16,99999.838926,161.073827,0.0,0.286102
5,8,24999.798683,201.316949,0.0,1.060724
5,16,24999.798658,201.342283,0.0,0.669479
6,7,1549.798658,201.342283,0.0,1.671433
6,19,1549.798641,201.359174,0.0,1.366615
7,17,99999.838933,161.06707,0.0,0.0
7,19,24999.798658,201.342283,0.0,1.495838
7,21,99999.798658,201.342283,0.0,1.147747
8,9,24999.798666,201.33384,0.0,1.211882
9,15,24999.838933,161.067072,0.0,1.528144
9,16,99999.798641,201.359174,0.0,0.518203
10,11,24999.798675,201.325394,0.0,1.173019
10,12,99999.798683,201.316949,0.0,1.232743
10,16,99999.798666,201.33384,0.0,0.283003
10,17,99999.798675,201.325394,0.0,0.032663
12,22,99999.798666,201.333837,0.0,0.8986
13,14,1549.838953,161.046804,0.0,0.676632
13,17,99999.798675,201.325394,0.0,0.380993
13,19,24999.838933,161.067072,0.0,1.080871
15,20,24999.83894,161.060315,0.0,1.563907
17,20,99999.838926,161.073826,0.0,0.031829
17,23,24999.838933,161.06707,0.0,0.0
18,21,24999.798658,201.342283,0.0,1.580477
20,22,24999.798658,201.342282,0.0,2.450228
