node1,node2,available_bandwidth,throughput,delay,packet_loss
19,13,25000.0,0.0,0.444,0
19,7,25000.0,0.0,0.557,0
19,6,1550.0,0.0,0.96,0
13,19,25000.0,0.0,0.444,0
13,17,100000.0,0.0,0.001,0
13,14,1550.0,0.0,0.454,0
13,2,100000.0,0.0,0.645,0
12,22,99999.76,0.24,0.355,0.01
12,10,99999.76,0.24,0.16,0.01
12,2,99999.76,0.24,0.001,0.01
22,12,100000.0,0.0,0.355,0
22,20,24999.76,0.24,0.758,0.01
17,13,100000.0,0.0,0.001,0
17,7,100000.0,0.0,0.001,0
17,20,100000.0,0.0,0.001,0
17,10,100000.0,0.0,0.001,0
17,23,25000.0,0.0,0.262,0
7,17,100000.0,0.0,0.001,0
7,19,25000.0,0.0,0.558,0
7,21,100000.0,0.0,0.117,0
7,1,100000.0,0.0,0.765,0
7,6,1550.0,0.0,0.843,0
7,2,100000.0,0.0,0.664,0
20,17,99999.76,0.24,0.001,0.01
20,15,25000.0,0.0,0.001,0
20,22,25000.0,0.0,0.758,0
8,5,24999.76,0.24,0.001,0.01
8,9,24999.76,0.24,2.361,0.01
5,8,25000.0,0.0,0.001,0
5,16,24999.76,0.24,0.001,0.01
15,20,25000.0,0.0,0.001,0
15,9,25000.0,0.0,0.12,0
3,21,99999.76,0.24,0.001,0.01
3,1,99999.76,0.24,0.946,0.01
3,10,99999.76,0.24,0.471,0.01
3,14,1549.76,0.24,0.175,0.01
3,11,24999.76,0.24,0.485,0.01
21,3,100000.0,0.0,0.001,0
21,7,100000.0,0.0,0.118,0
21,18,25000.0,0.0,0.001,0
1,3,100000.0,0.0,0.946,0
1,7,100000.0,0.0,0.765,0
1,16,99999.76,0.24,0.103,0.01
6,19,1550.0,0.0,0.96,0
6,7,1550.0,0.0,0.843,0
10,3,100000.0,0.0,0.471,0
10,12,100000.0,0.0,0.16,0
10,17,100000.0,0.0,0.001,0
10,16,99999.76,0.24,0.445,0.01
10,11,24999.76,0.24,0.527,0.01
14,3,1550.0,0.0,0.175,0
14,13,1550.0,0.0,0.454,0
4,16,99999.76,0.24,0.28,0.01
4,2,99999.76,0.24,0.291,0.01
16,4,100000.0,0.0,0.28,0
16,5,25000.0,0.0,0.001,0
16,1,100000.0,0.0,0.103,0
16,10,100000.0,0.0,0.445,0
16,9,99999.76,0.24,0.001,0.01
11,3,25000.0,0.0,0.485,0
11,10,25000.0,0.0,0.527,0
2,13,100000.0,0.0,0.645,0
2,7,100000.0,0.0,0.664,0
2,4,100000.0,0.0,0.291,0
2,12,100000.0,0.0,0.001,0
2,23,25000.0,0.0,0.265,0
2,18,25000.0,0.0,0.195,0
23,2,24999.76,0.24,0.266,0.01
23,17,24999.76,0.24,0.262,0.01
18,2,24999.76,0.24,0.196,0.01
18,21,24999.76,0.24,0.001,0.01
9,8,25000.0,0.0,2.362,0
9,15,25000.0,0.0,0.119,0
9,16,100000.0,0.0,0.001,0
