node1,node2,available_bandwidth,throughput,delay,packet_loss
19,13,25000.0,0.0,1.093,0
19,7,25000.0,0.0,0.778,0
19,6,1550.0,0.0,1.071,0
13,19,25000.0,0.0,1.093,0
13,17,100000.0,0.0,0.29,0
13,14,1550.0,0.0,0.001,0
13,2,100000.0,0.0,1.052,0
12,22,100000.0,0.0,1.476,0
12,10,100000.0,0.0,2.873,0
12,2,100000.0,0.0,1.54,0
22,12,99999.762,0.239,1.476,0.01
22,20,24999.762,0.238,0.826,0.01
17,13,99999.762,0.239,0.29,0.01
17,7,99999.762,0.239,0.87,0.01
17,20,99999.762,0.238,1.021,0.01
17,10,100000.0,0.0,0.984,0
17,23,25000.0,0.0,1.133,0
7,17,100000.0,0.0,0.87,0
7,19,24999.761,0.239,0.777,0.01
7,21,100000.0,0.0,1.16,0
7,1,100000.0,0.0,1.046,0
7,6,1550.0,0.0,0.617,0
7,2,100000.0,0.0,1.557,0
20,17,99999.762,0.238,1.021,0.01
20,15,24999.762,0.239,1.059,0.01
20,22,25000.0,0.0,0.826,0
8,5,25000.0,0.0,0.001,0
8,9,25000.0,0.0,0.001,0
5,8,24999.761,0.239,0.001,0.01
5,16,24999.761,0.238,0.001,0.01
15,20,25000.0,0.0,1.059,0
15,9,25000.0,0.0,0.001,0
3,21,99999.761,0.238,1.631,0.01
3,1,99999.761,0.239,1.085,0.01
3,10,99999.761,0.239,0.369,0.01
3,14,1549.761,0.239,0.001,0.01
3,11,24999.761,0.238,1.129,0.01
21,3,100000.0,0.0,1.631,0
21,7,100000.0,0.0,1.159,0
21,18,25000.0,0.0,0.797,0
1,3,100000.0,0.0,1.085,0
1,7,100000.0,0.0,1.045,0
1,16,99999.761,0.238,0.452,0.01
6,19,1550.0,0.0,1.071,0
6,7,1550.0,0.0,0.617,0
10,3,100000.0,0.0,0.369,0
10,12,100000.0,0.0,2.873,0
10,17,100000.0,0.0,0.984,0
10,16,99999.761,0.238,0.714,0.01
10,11,25000.0,0.0,0.237,0
14,3,1550.0,0.0,0.001,0
14,13,1550.0,0.0,0.001,0
4,16,99999.761,0.238,0.181,0.01
4,2,99999.761,0.238,0.508,0.01
16,4,100000.0,0.0,0.181,0
16,5,25000.0,0.0,0.001,0
16,1,100000.0,0.0,0.452,0
16,10,100000.0,0.0,0.714,0
16,9,99999.762,0.238,0.001,0.01
11,3,25000.0,0.0,1.129,0
11,10,25000.0,0.0,0.237,0
2,13,100000.0,0.0,1.052,0
2,7,100000.0,0.0,1.557,0
2,4,100000.0,0.0,0.508,0
2,12,100000.0,0.0,1.54,0
2,23,25000.0,0.0,0.976,0
2,18,25000.0,0.0,0.312,0
23,2,24999.761,0.238,0.976,0.01
23,17,24999.761,0.238,1.133,0.01
18,2,24999.761,0.238,0.312,0.01
18,21,24999.761,0.238,0.797,0.01
9,8,25000.0,0.0,0.001,0
9,15,25000.0,0.0,0.001,0
9,16,100000.0,0.0,0.001,0
