node1,node2,available_bandwidth,throughput,delay,packet_loss
19,13,24993.803,6.2,0.54,0.01
19,7,24469.585,530.415,0.294,0.01
19,6,1549.76,0.24,0.692,0.01
13,19,24791.4,208.496,0.539,0.01
13,17,98199.84,1800.16,0.126,0.01
13,14,1347.12,202.88,0.001,0.01
13,2,98503.8,1496.2,0.226,0.01
12,22,99606.597,393.6,0.853,0.01
12,10,99022.809,983.64,0.634,0
12,2,95960.9,4041.12,0.106,0.01
22,12,99558.96,440.82,0.853,0.01
22,20,24797.36,202.64,0.511,0.01
17,13,99523.2,476.8,0.126,0.01
17,7,99249.04,750.585,0.233,0.01
17,20,98784.16,1215.84,0.368,0.01
17,10,93121.92,6884.04,0.847,0
17,23,25000.0,0.0,0.328,0
7,17,97503.768,2497.48,0.232,0.01
7,19,24702.149,297.851,0.294,0.01
7,21,99445.757,554.52,0.168,0.01
7,1,99582.769,417.231,0.32,0.01
7,6,1394.878,155.122,0.229,0.01
7,2,98343.708,1657.12,0.382,0.01
20,17,99666.0,334.0,0.368,0.01
20,15,24868.88,131.054,0.664,0.01
20,22,24415.92,584.08,0.511,0.01
8,5,24993.8,6.2,0.611,0.01
8,9,20434.4,4559.64,0.64,0.13
5,8,24976.16,23.84,0.61,0.01
5,16,20762.2,4237.8,0.638,0.01
15,20,24886.577,113.48,0.664,0.01
15,9,24862.749,137.32,0.32,0.01
3,21,99070.24,935.72,0.078,0
3,1,99576.84,422.949,0.493,0.01
3,10,99767.56,232.44,0.527,0.01
3,14,1305.6399999999999,244.36,1.007,0.01
3,11,23873.56,1126.44,0.301,0.01
21,3,99982.12,17.88,0.078,0.01
21,7,98968.92,1030.565,0.168,0.01
21,18,24243.08,756.92,0.154,0.01
1,3,99761.719,238.4,0.493,0.01
1,7,99481.739,518.261,0.319,0.01
1,16,95954.943,4053.04,0.591,0
6,19,1544.043,5.957,0.693,0.01
6,7,1442.774,107.226,0.229,0.01
10,3,99451.68,548.32,0.528,0.01
10,12,84074.88,15923.118,0.635,0
10,17,94069.8,5930.2,0.847,0.01
10,16,93896.72,6097.32,0.361,0.1
10,11,23742.2,1257.8,0.445,0.01
14,3,1550.0,0.0,1.007,0
14,13,1240.08,309.92,0.001,0.01
4,16,99695.952,304.2,0.543,0.01
4,2,94435.902,5554.96,0.182,0.21
16,4,94677.72,5325.577,0.543,0
16,5,21596.84,3403.16,0.638,0.01
16,1,99582.8,416.992,0.591,0.01
16,10,87132.36,12867.64,0.361,0.01
16,9,95494.24,4505.76,0.42,0.01
11,3,24946.36,53.64,0.301,0.01
11,10,17436.760000000002,7557.28,0.444,0.08
2,13,99797.36,202.64,0.226,0.01
2,7,97192.84,2811.714,0.381,0
2,4,96942.52,3055.952,0.183,0.01
2,12,96990.2,3008.296,0.106,0.01
2,23,24946.36,53.613,0.139,0.01
2,18,24356.32,643.68,0.001,0.01
23,2,24994.043,5.96,0.139,0.01
23,17,24976.172,23.84,0.328,0.01
18,2,23664.96,1335.04,0.001,0.01
18,21,24636.44,363.56,0.155,0.01
9,8,23349.08,1650.92,0.64,0.01
9,15,24880.8,119.14,0.32,0.01
9,16,88050.2,11949.8,0.42,0.01
