node1,node2,available_bandwidth,throughput,delay,packet_loss
19,13,24999.761,0.239,16.956,0.01
19,7,25000.0,0.0,1.544,0
19,6,1550.0,0.0,0.808,0
13,19,25000.0,0.0,16.956,0
13,17,99999.761,0.239,0.583,0.01
13,14,1549.761,0.239,0.616,0.01
13,2,99999.761,0.239,1.109,0.01
12,22,99999.761,0.239,0.695,0.01
12,10,99999.761,0.239,0.001,0.01
12,2,99999.761,0.239,0.001,0.01
22,12,100000.0,0.0,0.695,0
22,20,25000.0,0.0,0.556,0
17,13,100000.0,0.0,0.583,0
17,7,100000.0,0.0,0.209,0
17,20,100000.0,0.0,0.92,0
17,10,99999.761,0.239,0.001,0.01
17,23,25000.0,0.0,0.44,0
7,17,99999.761,0.239,0.209,0.01
7,19,25000.0,0.0,1.544,0
7,21,99999.761,0.239,0.703,0.01
7,1,99999.761,0.239,1.164,0.01
7,6,1549.761,0.239,0.009,0.01
7,2,99999.761,0.239,0.359,0.01
20,17,99999.761,0.239,0.92,0.01
20,15,25000.0,0.0,10.859,0
20,22,25000.0,0.0,0.556,0
8,5,24999.761,0.239,1.752,0.01
8,9,24999.761,0.239,1.335,0.01
5,8,25000.0,0.0,1.752,0
5,16,24999.761,0.239,0.609,0.01
15,20,24999.761,0.239,10.859,0.01
15,9,24999.761,0.239,0.169,0.01
3,21,100000.0,0.0,1.665,0
3,1,100000.0,0.0,0.915,0
3,10,99999.761,0.239,0.972,0.01
3,14,1549.761,0.239,1.242,0.01
3,11,25000.0,0.0,1.13,0
21,3,100000.0,0.0,1.665,0
21,7,100000.0,0.0,0.703,0
21,18,25000.0,0.0,0.87,0
1,3,100000.0,0.0,0.915,0
1,7,100000.0,0.0,1.164,0
1,16,99999.761,0.239,1.164,0.01
6,19,1550.0,0.0,0.808,0
6,7,1550.0,0.0,0.009,0
10,3,100000.0,0.0,0.972,0
10,12,100000.0,0.0,0.001,0
10,17,100000.0,0.0,0.001,0
10,16,99999.761,0.239,0.296,0.01
10,11,24999.761,0.239,0.754,0.01
14,3,1550.0,0.0,1.242,0
14,13,1550.0,0.0,0.617,0
4,16,99999.761,0.239,0.601,0.01
4,2,99999.761,0.239,0.922,0.01
16,4,100000.0,0.0,0.601,0
16,5,25000.0,0.0,0.608,0
16,1,100000.0,0.0,1.164,0
16,10,100000.0,0.0,0.296,0
16,9,100000.0,0.0,0.682,0
11,3,25000.0,0.0,1.13,0
11,10,25000.0,0.0,0.754,0
2,13,100000.0,0.0,1.109,0
2,7,100000.0,0.0,0.359,0
2,4,100000.0,0.0,0.922,0
2,12,100000.0,0.0,0.001,0
2,23,25000.0,0.0,0.812,0
2,18,25000.0,0.0,0.86,0
23,2,25000.0,0.0,0.812,0
23,17,25000.0,0.0,0.44,0
18,2,25000.0,0.0,0.86,0
18,21,25000.0,0.0,0.87,0
9,8,25000.0,0.0,1.334,0
9,15,25000.0,0.0,0.17,0
9,16,100000.0,0.0,0.682,0
