node1,node2,free_bw,used_bw,pkloss,delay
1,3,99999.838872,161.127895,0.0,1.29354
1,7,99999.838872,161.127895,0.0,0.9588
1,16,99999.758318,241.681702,0.0,1.338482
2,4,99999.798582,201.418321,0.0,1.431465
2,7,99999.798582,201.418321,0.0,1.7277
2,12,99999.798582,201.418321,0.0,2.201796
2,13,99999.798582,201.418321,0.0,0.830889
2,18,24999.798582,201.418321,0.0,2.27201
2,23,24999.798582,201.418321,0.0,1.063466
3,10,99999.838879,161.121135,0.0,1.353979
3,11,24999.79859,201.409869,0.0,1.933932
3,14,1549.79859,201.409869,0.0,1.733065
3,21,99999.758308,241.691843,0.0,60.810804
4,16,99999.758308,241.691843,0.0,1.197338
5,8,24999.79859,201.409869,0.0,1.971602
5,16,24999.79859,201.409869,0.0,1.528382
6,7,1549.838872,161.127895,0.0,1.166344
6,19,1549.838879,161.121135,0.0,0.445843
7,17,99999.79859,201.409869,0.0,1.32966
7,19,24999.838879,161.121135,0.0,0.702858
7,21,99999.79859,201.409869,0.0,1.254559
8,9,24999.778449,221.550856,0.000203,0.988722
9,15,24999.758318,241.681702,0.0,0.847816
9,16,99999.758308,241.691843,0.0,0.804424
10,11,24999.798599,201.401419,0.0,1.752257
10,12,99999.798599,201.401419,0.0,1.806617
10,16,99999.758318,241.681702,0.0,0.873804
10,17,99999.79859,201.409869,0.0,0.872612
12,22,99999.79859,201.409869,0.0,1.336932
13,14,1549.79859,201.409869,0.0,1.718044
13,17,99999.79859,201.409869,0.0,1.022696
13,19,24999.838879,161.121135,0.0,0.43118
15,20,24999.798582,201.418321,0.0,0.531793
17,20,99999.798582,201.418321,0.0,1.555085
17,23,24999.79859,201.409869,0.0,1.526833
18,21,24999.79859,201.409869,0.0,1.504302
20,22,24999.798582,201.418321,0.0,1.455188
