node1,node2,free_bw,used_bw,pkloss,delay
1,3,99434.990427,565009.572929,0.0,1.581073
1,7,98615.078886,1384921.114208,0.0,2.107024
1,16,95019.912323,4980087.676637,7.4e-05,2.452254
2,4,86643.29204,13356707.959703,0.000338,1.487494
2,7,96906.054351,3093945.648759,0.0,1.698136
2,12,94737.320125,5262679.874954,0.000212,1.873136
2,13,89608.953913,10391046.08682,0.0,1.694679
2,18,20959.601924,4040398.075568,0.0,0.350356
2,23,24736.032875,263967.124846,0.000422,0.516653
3,10,98381.147284,1618852.715688,0.000678,1.623273
3,11,23029.894464,1970105.53593,0.0,1.887679
3,14,1279.667674,270332.326284,0.0,2.732754
3,21,99252.765897,747234.10307,0.000188,1.557112
4,16,91127.366476,8872633.523681,8e-05,2.164364
5,8,24746.15804,253841.960274,0.0,1.430511
5,16,16672.455492,8327544.507894,0.000173,2.666235
6,7,1324.607093,225392.906543,0.0,1.755595
6,19,1527.750923,22249.076871,0.0,3.010154
7,17,99977.816594,22183.406114,0.0,1.235008
7,19,24922.746801,77253.198771,0.0,2.006054
7,21,99946.742809,53257.19094,0.0,3.457427
8,9,18179.434215,6820565.784629,0.0,1.327753
9,15,19411.813752,5588186.248055,0.0,0.810266
9,16,88765.016986,11234983.013721,0.0,1.332283
10,11,16689.872389,8310127.61145,0.000383,1.785159
10,12,84301.643862,15698356.138142,0.000138,2.983689
10,16,83957.857974,16042142.026342,0.000112,2.45142
10,17,94450.381526,5549618.474044,0.000313,0.372291
12,22,97570.893517,2429106.483037,0.0,1.86789
13,14,1011.5954,538404.6,0.0,0.49758
13,17,92328.369191,7671630.808643,0.0,0.0
13,19,24057.442825,942557.175089,0.0,1.839519
15,20,19356.051413,5643948.587374,0.000458,0.49448
17,20,92965.757474,7034242.526033,0.00035,0.0
17,23,24649.500776,350499.223862,0.0,0.0
18,21,22946.685699,2053314.301332,0.0,2.656817
20,22,23433.261673,1566738.327175,0.0,0.764012
