node1,node2,available_bandwidth,throughput,delay,packet_loss
19,13,24997.922,2.079,0.723,0.01
19,6,1550.0,0.0,0.252,0
19,7,24428.224,572.348,0.806,0.01
13,19,24860.03,139.9,0.723,0.01
13,17,98969.475,1031.556,0.067,0.01
13,2,98605.404,1395.294,1.849,0.01
13,14,1412.92,137.561,0.08,0.01
17,13,99596.078,403.518,0.067,0.01
17,7,99999.76,0.24,0.525,0.01
17,23,15892.89,9096.596,0.001,0.06
17,10,96903.064,3093.841,50.359,0.01
17,20,99392.148,601.889,0.546,0.45
2,13,99900.43,99.52,1.849,0.01
2,23,15203.79,9779.392,0.083,0.11
2,12,100000.0,0.0,0.508,0
2,7,96810.006,3180.844,0.001,0.12
2,4,87181.954,12811.188,0.001,0
2,18,23914.771,1084.686,0.049,0.01
14,13,1531.816,18.12,0.08,0.01
14,3,1125.354,422.949,0.674,0.01
10,16,99745.407,254.975,1.367,0.01
10,12,83065.447,16927.644,1.547,0.13
10,11,24999.76,0.24,1.438,0.01
10,17,96751.996,3263.18,50.36,0
10,3,99662.009,337.991,1.109,0.01
16,10,90901.954,9102.277,1.367,0
16,9,97151.496,2849.93,0.376,0.01
16,5,19936.588,5072.8,2.412,0
16,1,100000.0,0.0,1.984,0
16,4,92807.72,7206.564,0.82,0
8,9,24999.76,0.24,0.001,0.01
8,5,20412.97,4583.364,0.001,0.12
9,8,25000.0,0.0,0.001,0
9,16,92626.122,7364.226,0.376,0.08
9,15,24922.494,71.468,0.099,3.33
15,9,24900.24,99.86,0.099,0.01
15,20,24892.532,107.522,1.497,0.01
3,14,1102.984,448.811,0.674,0.01
3,1,99999.76,0.24,1.799,0.01
3,11,22619.66,2395.838,1.91,0
3,21,95588.016,4432.749,0.684,0
3,10,95425.059,4580.898,1.109,0
23,2,15895.992,9114.525,0.083,0
23,17,15229.872,9780.978,0.001,0
12,2,99999.76,0.24,0.507,0.01
12,10,97069.195,2921.919,1.548,0.16
12,22,99856.868,143.06,0.955,0.01
7,2,89980.056,10041.906,0.001,0
7,1,99370.075,630.871,0.379,0.01
7,6,1401.074,149.523,2.059,0.01
7,19,24685.376,308.356,0.807,0.58
7,21,98263.668,1738.07,1.6,0.01
7,17,100000.0,0.0,0.526,0
4,2,90647.928,9361.433,0.001,0.01
4,16,92066.452,7925.591,0.819,0.14
5,8,23310.96,1688.196,0.001,0.01
5,16,16236.072,8756.386,2.412,0.13
1,3,100000.0,0.0,1.799,0
1,16,100000.0,0.0,1.983,0
1,7,95892.565,4107.234,0.379,0
22,12,99493.044,507.21,0.955,0.01
22,20,24968.104,31.896,1.495,0.01
6,19,1550.0,0.0,0.252,0
6,7,1436.362,113.183,2.058,0.01
11,10,25000.0,0.0,1.438,0
11,3,17400.311999999998,7594.254,1.91,0
20,22,24966.987,33.013,1.496,0.01
20,17,99594.957,405.043,0.545,0.01
20,15,24870.615,129.32,1.497,0.01
21,3,98527.648,1463.457,0.684,0.32
21,7,94862.575,5126.328,1.6,0.09
21,18,24999.76,0.24,0.54,0.01
18,2,23258.085,1742.787,0.049,0.01
18,21,25000.0,0.0,0.539,0
