node1,node2,available_bandwidth,throughput,delay,packet_loss
19,13,25000.0,0.0,0.325,0
19,6,1550.0,0.0,0.541,0
19,7,24999.76,0.24,1.487,0.01
13,19,25000.0,0.0,0.325,0
13,17,100000.0,0.0,0.81,0
13,2,100000.0,0.0,0.439,0
13,14,1550.0,0.0,1.032,0
17,13,100000.0,0.0,0.811,0
17,7,100000.0,0.0,1.581,0
17,23,24999.761,0.239,0.971,0.01
17,10,99999.761,0.24,0.001,0.01
17,20,99999.761,0.239,0.001,0.01
2,13,100000.0,0.0,0.439,0
2,23,24999.761,0.239,0.812,0.01
2,12,99999.761,0.239,0.964,0.01
2,7,99999.761,0.239,0.568,0.01
2,4,99999.761,0.239,0.751,0.01
2,18,24999.721,0.279,0.445,0.01
14,13,1550.0,0.0,1.032,0
14,3,1549.76,0.24,0.001,0.01
10,16,100000.0,0.0,0.001,0
10,12,100000.0,0.0,0.001,0
10,11,25000.0,0.0,0.001,0
10,17,100000.0,0.0,0.001,0
10,3,100000.0,0.0,0.193,0
16,10,99999.761,0.24,0.001,0.01
16,9,100000.0,0.0,0.259,0
16,5,25000.0,0.0,0.001,0
16,1,100000.0,0.0,0.001,0
16,4,100000.0,0.0,0.842,0
8,9,25000.0,0.0,0.923,0
8,5,25000.0,0.0,0.001,0
9,8,24999.761,0.24,0.924,0.01
9,16,99999.761,0.239,0.259,0.01
9,15,24999.761,0.24,0.663,0.01
15,9,25000.0,0.0,0.662,0
15,20,25000.0,0.0,0.512,0
3,14,1549.76,0.24,0.001,0.01
3,1,99999.76,0.24,0.345,0.01
3,11,24999.76,0.239,0.839,0.01
3,21,99999.76,0.239,34.208,0.01
3,10,99999.76,0.24,0.193,0.01
23,2,24999.761,0.239,0.812,0.01
23,17,24999.761,0.239,0.971,0.01
12,2,100000.0,0.0,0.963,0
12,10,99999.761,0.24,0.001,0.01
12,22,99999.761,0.239,0.057,0.01
7,2,100000.0,0.0,0.568,0
7,1,100000.0,0.0,0.001,0
7,6,1550.0,0.0,0.896,0
7,19,25000.0,0.0,1.486,0
7,21,100000.0,0.0,11.578,0
7,17,99999.76,0.239,1.582,0.01
4,2,100000.0,0.0,0.751,0
4,16,100000.0,0.0,0.842,0
5,8,24999.761,0.24,0.001,0.01
5,16,24999.761,0.239,0.001,0.01
1,3,99999.76,0.24,0.345,0.01
1,16,99999.76,0.239,0.001,0.01
1,7,99999.76,0.239,0.001,0.01
22,12,100000.0,0.0,0.057,0
22,20,24999.761,0.239,0.001,0.01
6,19,1549.76,0.24,0.54,0.01
6,7,1549.76,0.239,0.896,0.01
11,10,24999.761,0.24,0.001,0.01
11,3,24999.761,0.24,0.839,0.01
20,22,25000.0,0.0,0.001,0
20,17,100000.0,0.0,0.001,0
20,15,25000.0,0.0,0.512,0
21,3,99999.761,0.24,34.208,0.01
21,7,99999.761,0.239,11.578,0.01
21,18,25000.0,0.0,1.229,0
18,2,25000.0,0.0,0.445,0
18,21,25000.0,0.0,1.229,0
