node1,node2,available_bandwidth,throughput,delay,packet_loss
19,13,24999.76,0.24,2.627,0.01
19,6,1549.76,0.241,4.186,0.01
19,7,24457.911,549.97,0.954,0
13,19,24791.504,208.496,2.627,0.01
13,17,97015.532,2987.454,1.27,0.01
13,2,100000.0,0.0,0.001,0
13,14,1526.172,23.912,0.788,0.01
17,13,99498.869,500.63,1.271,0.01
17,7,90894.287,9110.612,2.746,0.2
17,23,24982.111,17.871,0.474,0.01
17,10,100000.0,0.0,0.644,0
17,20,100000.0,0.0,2.0,0
2,13,99999.76,0.24,0.001,0.01
2,23,24958.259,41.699,0.822,0.01
2,12,97340.51,2661.515,0.528,0.22
2,7,96624.952,3383.511,0.35,0.01
2,4,100000.0,0.0,0.001,0
2,18,23652.126,1347.2,0.001,0.01
14,13,1549.759,0.24,0.788,0.01
14,3,1239.147,309.765,1.763,0.01
10,16,97680.562,2313.637,0.508,0.01
10,12,85874.14199999999,14132.945,1.176,0.01
10,11,25000.0,0.0,1.302,0
10,17,100000.0,0.0,0.645,0
10,3,100000.0,0.0,39.622,0
16,10,85992.956,14000.321,0.508,0.3
16,9,95593.117,4403.123,0.001,0.14
16,5,19949.114999999998,5051.595,0.001,0.24
16,1,89874.617,10133.734,1.255,0.12
16,4,94713.914,5296.69,0.001,0.01
8,9,24999.759,0.24,0.049,0.01
8,5,20434.907,4561.404,1.622,0.13
9,8,25000.0,0.0,0.049,0
9,16,91928.048,8067.914,0.001,0.01
9,15,23341.461,1661.866,0.495,0.01
15,9,24180.782,823.544,0.495,0
15,20,23421.585,1579.64,1.326,0
3,14,1133.008,418.455,1.764,0.01
3,1,90921.499,9069.955,1.135,0.39
3,11,22627.92,2362.523,1.484,0.5
3,21,99952.344,47.728,0.001,0.01
3,10,100000.0,0.0,39.622,0
23,2,25000.0,0.0,0.822,0
23,17,24988.086,11.926,0.473,0.01
12,2,98414.812,1580.43,0.528,0.01
12,10,98773.909,1225.476,1.176,0.01
12,22,99922.287,77.48,1.51,0.01
7,2,91529.027,8473.637,0.35,0
7,1,90112.257,9876.812,1.697,0.06
7,6,1400.311,149.614,0.962,0.01
7,19,24706.841,298.091,0.954,0
7,21,99258.495,740.02,0.001,0.01
7,17,92103.149,7889.025,2.745,0
4,2,99999.759,0.24,0.001,0.01
4,16,97226.239,2774.174,0.001,0
5,8,23332.156,1667.008,1.622,0.01
5,16,16194.504,8819.25,0.001,0
1,3,98135.82,1864.548,1.135,0
1,16,82989.353,17012.386,1.256,0
1,7,86203.87,13785.115,1.697,0.13
22,12,99904.4,95.888,1.51,0.01
22,20,24618.56,381.44,1.424,0.01
6,19,1550.0,0.0,4.186,0
6,7,1442.451,107.603,0.962,0.01
11,10,25000.0,0.0,1.302,0
11,3,17393.393,7604.96,1.484,0
20,22,24255.0,745.0,1.424,0.01
20,17,100000.0,0.0,2.0,0
20,15,24249.04,753.22,1.326,0.01
21,3,99988.068,11.914,0.001,0.01
21,7,99319.88,681.484,0.001,0.01
21,18,24958.238,41.72,0.001,0.01
18,2,23289.48,1711.376,0.001,0.01
18,21,25000.0,0.0,0.001,0
