node1,node2,available_bandwidth,throughput,delay,packet_loss
14,13,1182.243,367.757,152.307,0.01
14,3,3.0850000000000364,1546.915,381.61,0.01
13,14,2.849999999999909,1547.15,152.307,0.01
13,2,97373.164,2625.551,1.071,0.01
13,17,98809.167,1190.25,0.001,0.01
13,19,25000.0,0.0,1.448,0
23,2,57.8080000000009,24942.731,1.137,0.05
23,17,18900.039,6102.947,63.189,0.01
2,23,18955.399,6041.644,1.137,0.01
2,12,79964.131,20035.869,0.688,0.01
2,7,100000.0,0.0,1.236,0
2,4,100000.0,0.0,2.754,0
2,13,99632.188,367.992,1.071,0.01
2,18,23220.225,1778.904,0.001,0.01
3,1,95528.541,4471.459,0.001,0.01
3,11,25000.0,0.0,1.325,0
3,21,95353.418,4650.142,0.64,0
3,14,2.849999999999909,1547.15,381.61,0.01
3,10,97291.44,2708.56,1.411,0.01
1,3,94571.205,5428.795,0.001,0.01
1,7,76930.539,23069.461,0.001,0.01
1,16,74794.045,25192.955,0.001,0
10,12,100000.0,0.0,1.173,0
10,17,91138.805,8862.692,0.001,0
10,3,98885.054,1114.946,1.411,0.01
10,11,19775.514,5221.929,0.001,0.01
10,16,100000.0,0.0,1.337,0
12,10,100000.0,0.0,1.173,0
12,2,94620.303,5379.697,0.689,0.01
12,22,97800.372,2199.628,0.011,0.01
11,3,25000.0,0.0,1.325,0
11,10,16942.477,8055.632,0.001,0.07
6,19,1550.0,0.0,0.983,0
6,7,1398.227,151.773,1.091,0.01
19,6,1550.0,0.0,0.983,0
19,7,24164.841,834.75,4.984,0.01
19,13,25000.0,0.0,1.448,0
22,12,92834.929,7159.236,0.011,0.08
22,20,24422.379,577.621,1.235,0.01
21,3,98319.648,1681.175,0.64,0.01
21,7,100000.0,0.0,1.045,0
21,18,22129.163,2869.432,0.944,0.01
7,19,24649.755,350.416,4.984,0.01
7,2,100000.0,0.0,1.236,0
7,21,100000.0,0.0,1.045,0
7,6,1380.715,169.285,1.091,0.01
7,1,83509.305,16490.695,0.001,0.01
7,17,77420.881,22579.736,0.001,0
17,23,4.75800000000163,24994.677,63.189,0
17,10,97561.155,2440.039,0.001,0.01
17,7,84380.656,15621.156,0.001,0.04
17,20,99299.853,700.147,0.001,0.01
17,13,99713.872,286.268,0.001,0.01
4,2,99999.765,0.235,2.753,0.01
4,16,95565.737,4437.926,3.963,0
20,22,18587.587,6418.248,1.235,0
20,17,99550.504,449.496,0.001,0.01
20,15,24334.86,665.465,0.287,0.01
16,1,77710.99799999999,22299.158,0.001,0.05
16,5,13027.28,11978.581,1.255,0.01
16,9,92406.888,7600.548,0.001,0.01
16,10,100000.0,0.0,1.337,0
16,4,94115.812,5887.068,3.962,0.01
5,16,10903.71,14089.393,1.256,0.01
5,8,19585.531,5411.283,0.928,0.11
8,5,17720.509,7281.762,0.928,0
8,9,24883.017,116.926,1.228,0.01
9,15,18511.972999999998,6485.367,1.679,0.09
9,16,96088.932,3907.241,0.001,0.01
9,8,24976.662,23.35,1.227,0.01
15,9,24567.796,431.992,1.679,0.01
15,20,18625.309,6371.571,0.287,0.01
18,21,24521.8,478.434,0.944,0.01
18,2,22859.765,2141.282,0.001,0.01
