node1,node2,available_bandwidth,throughput,delay,packet_loss
14,13,851.372,700.024,1.968,0.01
14,3,1440.405,109.814,162.039,0.01
13,14,1449.333,100.467,1.968,0.01
13,2,99244.747,754.876,0.068,0.01
13,17,99920.228,79.732,0.677,0.01
13,19,24956.935,43.086,0.829,0.01
23,2,24962.306,37.675,1.1,0.01
23,17,24996.991,3.007,0.72,0.01
2,23,24905.234,94.813,1.099,0.01
2,12,99537.318,462.913,0.001,0.01
2,7,99583.976,416.232,0.627,0.01
2,4,99940.421,59.608,0.641,0.01
2,13,99910.083,89.962,0.068,0.01
2,18,24830.766,169.234,0.23,0.01
3,1,99999.76,0.239,126.671,0.01
3,11,24944.983,54.99,1.267,0.01
3,21,99999.76,0.24,1.35,0.01
3,14,837.101,711.478,162.039,0.01
3,10,99982.697,17.311,0.749,0.01
1,3,99999.761,0.24,126.67,0.01
1,7,99956.525,43.54,0.809,0.01
1,16,99939.22,60.871,0.817,0.01
10,12,99978.447,21.542,0.413,0.01
10,17,99999.76,0.24,0.156,0.01
10,3,99983.92,16.072,0.749,0.01
10,11,24999.76,0.24,1.295,0.01
10,16,99999.76,0.24,0.064,0.01
12,10,99997.075,2.927,0.413,0.01
12,2,99807.013,192.891,0.001,0.01
12,22,99355.712,643.966,0.001,0.01
11,3,24937.514,62.517,1.267,0.01
11,10,25000.0,0.0,1.296,0
6,19,1550.0,0.0,0.297,0
6,7,1550.0,0.0,0.278,0
19,6,1550.0,0.0,0.296,0
19,7,24997.369,2.629,0.715,0.01
19,13,24981.769,18.222,0.829,0.01
22,12,99936.328,63.704,0.001,0.01
22,20,24930.117,69.918,0.001,0.01
21,3,99999.76,0.24,1.351,0.01
21,7,99934.59,65.443,0.849,0.01
21,18,24999.76,0.24,2.072,0.01
7,19,24997.319,2.683,0.715,0.01
7,2,99925.243,74.72,0.627,0.01
7,21,99487.576,512.168,0.849,0.01
7,6,1550.0,0.0,0.278,0
7,1,99988.659,11.324,0.809,0.01
7,17,99997.311,2.688,0.86,0.01
17,23,24948.709,51.317,0.72,0.01
17,10,99999.76,0.24,0.156,0.01
17,7,99960.847,39.173,0.859,0.01
17,20,99997.368,2.633,6.694,0.01
17,13,99904.339,95.708,0.677,0.01
4,2,99860.372,139.559,0.64,0.01
4,16,99924.072,75.89,0.622,0.01
20,22,24981.491,18.5,0.001,0.01
20,17,99997.339,2.66,6.694,0.01
20,15,24994.645,5.357,0.374,0.01
16,1,99955.353,44.581,0.817,0.01
16,5,24991.712,8.288,0.643,0.01
16,9,99977.886,22.103,0.001,0.01
16,10,100000.0,0.0,0.064,0
16,4,99880.112,119.948,0.622,0.01
5,16,24977.842,22.158,0.643,0.01
5,8,25000.0,0.0,0.697,0
8,5,24999.76,0.24,0.697,0.01
8,9,24999.76,0.24,0.001,0.01
9,15,24973.308,26.719,0.001,0.01
9,16,99955.203,44.819,0.001,0.01
9,8,25000.0,0.0,0.001,0
15,9,24987.886,12.102,0.001,0.01
15,20,24982.025,17.966,0.374,0.01
18,21,25000.0,0.0,2.072,0
18,2,24974.57,25.43,0.229,0.01
